

ESTACIÓN: Arnego_Ulla
CONCELLO: Agolada
PROVINCIA: Pontevedra

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen control de calidade
1:  Dato correcto
2:  Dato probablente correcto
3:  Dato incorrecto susceptible de ser correxido
4:  Dato erróneo
5:  Non usado
6:  Non usado
7:  Non usado
8:  Non usado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:1/1/1990-17/07/2018


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      3          14/04/2009    Nivel Medio da Auga (m)                   125
      3          15/04/2009    Nivel Medio da Auga (m)                   124
      3          16/04/2009    Nivel Medio da Auga (m)                   129
      3          17/04/2009    Nivel Medio da Auga (m)                   133
      3          18/04/2009    Nivel Medio da Auga (m)                   129
      3          19/04/2009    Nivel Medio da Auga (m)                   128
      3          20/04/2009    Nivel Medio da Auga (m)                   125
      3          21/04/2009    Nivel Medio da Auga (m)                   123
      3          22/04/2009    Nivel Medio da Auga (m)                   122
      3          23/04/2009    Nivel Medio da Auga (m)                   121
      3          24/04/2009    Nivel Medio da Auga (m)                   12
      3          25/04/2009    Nivel Medio da Auga (m)                   121
      3          26/04/2009    Nivel Medio da Auga (m)                   12
      3          27/04/2009    Nivel Medio da Auga (m)                   121
      3          28/04/2009    Nivel Medio da Auga (m)                   124
      3          29/04/2009    Nivel Medio da Auga (m)                   122
      3          30/04/2009    Nivel Medio da Auga (m)                   122
      3          01/05/2009    Nivel Medio da Auga (m)                   122
      3          02/05/2009    Nivel Medio da Auga (m)                   12
      3          03/05/2009    Nivel Medio da Auga (m)                   118
      3          04/05/2009    Nivel Medio da Auga (m)                   117
      3          05/05/2009    Nivel Medio da Auga (m)                   117
      3          06/05/2009    Nivel Medio da Auga (m)                   115
      3          07/05/2009    Nivel Medio da Auga (m)                   115
      3          08/05/2009    Nivel Medio da Auga (m)                   115
      3          09/05/2009    Nivel Medio da Auga (m)                   115
      3          10/05/2009    Nivel Medio da Auga (m)                   115
      3          11/05/2009    Nivel Medio da Auga (m)                   118
      3          12/05/2009    Nivel Medio da Auga (m)                   117
      3          13/05/2009    Nivel Medio da Auga (m)                   116
      3          14/05/2009    Nivel Medio da Auga (m)                   116
      3          15/05/2009    Nivel Medio da Auga (m)                   116
      3          16/05/2009    Nivel Medio da Auga (m)                   117
      3          17/05/2009    Nivel Medio da Auga (m)                   123
      3          18/05/2009    Nivel Medio da Auga (m)                   121
