

ESTACIÓN: Ulla
CONCELLO: Santiso
PROVINCIA: A Coruña

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen control de calidade
1:  Dato correcto
2:  Dato probablente correcto
3:  Dato incorrecto susceptible de ser correxido
4:  Dato erróneo
5:  Non usado
6:  Non usado
7:  Non usado
8:  Non usado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:1/1/1990-17/07/2018


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      9          12/04/2009    Nivel Medio da Auga (m)                   -9999
      9          13/04/2009    Nivel Medio da Auga (m)                   -9999
      9          14/04/2009    Nivel Medio da Auga (m)                   -9999
      9          15/04/2009    Nivel Medio da Auga (m)                   -9999
      9          16/04/2009    Nivel Medio da Auga (m)                   -9999
      9          17/04/2009    Nivel Medio da Auga (m)                   -9999
      9          18/04/2009    Nivel Medio da Auga (m)                   -9999
      9          19/04/2009    Nivel Medio da Auga (m)                   -9999
      9          20/04/2009    Nivel Medio da Auga (m)                   -9999
      9          21/04/2009    Nivel Medio da Auga (m)                   -9999
      9          22/04/2009    Nivel Medio da Auga (m)                   -9999
      9          23/04/2009    Nivel Medio da Auga (m)                   -9999
      9          24/04/2009    Nivel Medio da Auga (m)                   -9999
      9          25/04/2009    Nivel Medio da Auga (m)                   -9999
      9          26/04/2009    Nivel Medio da Auga (m)                   -9999
      9          27/04/2009    Nivel Medio da Auga (m)                   -9999
      9          28/04/2009    Nivel Medio da Auga (m)                   -9999
      9          29/04/2009    Nivel Medio da Auga (m)                   -9999
      9          30/04/2009    Nivel Medio da Auga (m)                   -9999
      9          01/05/2009    Nivel Medio da Auga (m)                   -9999
      9          02/05/2009    Nivel Medio da Auga (m)                   -9999
      9          03/05/2009    Nivel Medio da Auga (m)                   -9999
      9          04/05/2009    Nivel Medio da Auga (m)                   -9999
      9          05/05/2009    Nivel Medio da Auga (m)                   -9999
      9          06/05/2009    Nivel Medio da Auga (m)                   -9999
      9          07/05/2009    Nivel Medio da Auga (m)                   -9999
      9          08/05/2009    Nivel Medio da Auga (m)                   -9999
      9          09/05/2009    Nivel Medio da Auga (m)                   -9999
      9          10/05/2009    Nivel Medio da Auga (m)                   -9999
      9          11/05/2009    Nivel Medio da Auga (m)                   -9999
      9          12/05/2009    Nivel Medio da Auga (m)                   -9999
      9          13/05/2009    Nivel Medio da Auga (m)                   -9999
      9          14/05/2009    Nivel Medio da Auga (m)                   -9999
      9          15/05/2009    Nivel Medio da Auga (m)                   -9999
      9          16/05/2009    Nivel Medio da Auga (m)                   -9999
      9          17/05/2009    Nivel Medio da Auga (m)                   -9999
      9          18/05/2009    Nivel Medio da Auga (m)                   -9999
      9          19/05/2009    Nivel Medio da Auga (m)                   -9999
      9          20/05/2009    Nivel Medio da Auga (m)                   -9999
      9          21/05/2009    Nivel Medio da Auga (m)                   -9999
      9          22/05/2009    Nivel Medio da Auga (m)                   -9999
      9          23/05/2009    Nivel Medio da Auga (m)                   -9999
      9          24/05/2009    Nivel Medio da Auga (m)                   -9999
      9          25/05/2009    Nivel Medio da Auga (m)                   -9999
      9          26/05/2009    Nivel Medio da Auga (m)                   -9999
      9          27/05/2009    Nivel Medio da Auga (m)                   -9999
      9          28/05/2009    Nivel Medio da Auga (m)                   -9999
      9          06/06/2009    Nivel Medio da Auga (m)                   -9999
      9          07/06/2009    Nivel Medio da Auga (m)                   -9999
      9          08/06/2009    Nivel Medio da Auga (m)                   -9999
      9          09/06/2009    Nivel Medio da Auga (m)                   -9999
      9          10/06/2009    Nivel Medio da Auga (m)                   -9999
