147.36;3.51;4.51;5.51;3.51
147.35;3.5;4.5;5.5;3.5
147.35;3.51;4.51;5.51;3.51
147.34;3.5;4.5;5.5;3.5
147.33;3.49;4.49;5.49;3.49
147.32;3.49;4.49;5.49;3.49
147.31;3.49;4.49;5.49;3.49
147.31;3.48;4.48;5.48;3.48
147.3;3.48;4.48;5.48;3.48
147.29;3.48;4.48;5.48;3.48
147.28;3.47;4.47;5.47;3.47
147.28;3.48;4.48;5.48;3.48
147.27;3.47;4.47;5.47;3.47
147.26;3.47;4.47;5.47;3.47
147.26;3.46;4.46;5.46;3.46
147.25;3.46;4.46;5.46;3.46
147.24;3.46;4.46;5.46;3.46
147.24;3.45;4.45;5.45;3.45
147.23;3.45;4.45;5.45;3.45
147.22;3.45;4.45;5.45;3.45
147.21;3.45;4.45;5.45;3.45
147.21;3.44;4.44;5.44;3.44
147.2;3.44;4.44;5.44;3.44
147.19;3.43;4.43;5.43;3.43
147.19;3.44;4.44;5.44;3.44
147.18;3.43;4.43;5.43;3.43
147.17;3.42;4.42;5.42;3.42
147.17;3.43;4.43;5.43;3.43
147.16;3.42;4.42;5.42;3.42
147.15;3.42;4.42;5.42;3.42
147.14;3.41;4.41;5.41;3.41
147.14;3.42;4.42;5.42;3.42
147.13;3.41;4.41;5.41;3.41
147.12;3.41;4.41;5.41;3.41
147.12;3.4;4.4;5.4;3.4
147.11;3.4;4.4;5.4;3.4
147.1;3.4;4.4;5.4;3.4
147.1;3.39;4.39;5.39;3.39
147.09;3.39;4.39;5.39;3.39
147.08;3.39;4.39;5.39;3.39
147.07;3.38;4.38;5.38;3.38
147.06;3.38;4.38;5.38;3.38
147.05;3.38;4.38;5.38;3.38
147.05;3.37;4.37;5.37;3.37
147.04;3.37;4.37;5.37;3.37
147.03;3.36;4.36;5.36;3.36
147.02;3.36;4.36;5.36;3.36
147.01;3.36;4.36;5.36;3.36
147;3.35;4.35;5.35;3.35
147;3.36;4.36;5.36;3.36
146.99;3.35;4.35;5.35;3.35
146.98;3.34;4.34;5.34;3.34
146.97;3.34;4.34;5.34;3.34
146.96;3.34;4.34;5.34;3.34
146.96;3.33;4.33;5.33;3.33
146.95;3.33;4.33;5.33;3.33
146.94;3.33;4.33;5.33;3.33
146.93;3.33;4.33;5.33;3.33
146.93;3.32;4.32;5.32;3.32
146.92;3.32;4.32;5.32;3.32
146.91;3.32;4.32;5.32;3.32
146.91;3.31;4.31;5.31;3.31
146.9;3.31;4.31;5.31;3.31
146.89;3.31;4.31;5.31;3.31
146.88;3.3;4.3;5.3;3.3
146.88;3.31;4.31;5.31;3.31
146.87;3.3;4.3;5.3;3.3
146.86;3.29;4.29;5.29;3.29
146.86;3.3;4.3;5.3;3.3
146.85;3.29;4.29;5.29;3.29
146.84;3.29;4.29;5.29;3.29
146.83;3.28;4.28;5.28;3.28
146.83;3.29;4.29;5.29;3.29
146.82;3.28;4.28;5.28;3.28
146.81;3.28;4.28;5.28;3.28
146.81;3.27;4.27;5.27;3.27
146.8;3.27;4.27;5.27;3.27
146.79;3.27;4.27;5.27;3.27
146.78;3.27;4.27;5.27;3.27
146.77;3.26;4.26;5.26;3.26
146.76;3.25;4.25;5.25;3.25
146.76;3.26;4.26;5.26;3.26
146.75;3.25;4.25;5.25;3.25
146.74;3.25;4.25;5.25;3.25
146.73;3.24;4.24;5.24;3.24
146.72;3.24;4.24;5.24;3.24
146.71;3.23;4.23;5.23;3.23
146.7;3.23;4.23;5.23;3.23
146.69;3.23;4.23;5.23;3.23
146.67;3.22;4.22;5.22;3.22
146.66;3.22;4.22;5.22;3.22
146.66;3.21;4.21;5.21;3.21
146.65;3.21;4.21;5.21;3.21
146.64;3.21;4.21;5.21;3.21
146.63;3.2;4.2;5.2;3.2
146.61;3.19;4.19;5.19;3.19
146.6;3.19;4.19;5.19;3.19
146.59;3.19;4.19;5.19;3.19
146.58;3.18;4.18;5.18;3.18
146.57;3.18;4.18;5.18;3.18
146.56;3.18;4.18;5.18;3.18
146.56;3.17;4.17;5.17;3.17
146.55;3.17;4.17;5.17;3.17
146.54;3.17;4.17;5.17;3.17
146.53;3.16;4.16;5.16;3.16
146.52;3.16;4.16;5.16;3.16
146.51;3.15;4.15;5.15;3.15
146.5;3.15;4.15;5.15;3.15
146.49;3.15;4.15;5.15;3.15
146.49;3.14;4.14;5.14;3.14
146.48;3.14;4.14;5.14;3.14
