"Instante lectura,""Irradiación global diaria""";
"2012-05-15 00:00:00.0,""2944.0""";
"2012-05-16 00:00:00.0,""2665.0""";
"2012-05-17 00:00:00.0,""2473.0""";
"2012-05-18 00:00:00.0,""782.0""";
"2012-05-19 00:00:00.0,""1365.0""";
"2012-05-20 00:00:00.0,""1604.0""";
"2012-05-21 00:00:00.0,""737.0""";
"2012-05-22 00:00:00.0,""1695.0""";
"2012-05-23 00:00:00.0,""2967.0""";
"2012-05-24 00:00:00.0,""2850.0""";
"2012-05-25 00:00:00.0,""2555.0""";
"2012-05-26 00:00:00.0,""1557.0""";
"2012-05-27 00:00:00.0,""835.0""";
"2012-05-28 00:00:00.0,""2672.0""";
"2012-05-29 00:00:00.0,""2655.0""";
"2012-05-30 00:00:00.0,""2923.0""";
"2012-05-31 00:00:00.0,""2979.0""";
"2012-06-01 00:00:00.0,""2622.0""";
"2012-06-02 00:00:00.0,""900.0""";
"2012-06-03 00:00:00.0,""2079.0""";
"2012-06-04 00:00:00.0,""2830.0""";
"2012-06-05 00:00:00.0,""1111.0""";
"2012-06-06 00:00:00.0,""1290.0""";
"2012-06-07 00:00:00.0,""1516.0""";
"2012-06-08 00:00:00.0,""2125.0""";
"2012-06-09 00:00:00.0,""626.0""";
"2012-06-10 00:00:00.0,""1835.0""";
"2012-06-11 00:00:00.0,""1065.0""";
"2012-06-12 00:00:00.0,""1050.0""";
"2012-06-13 00:00:00.0,""2468.0""";
"2012-06-14 00:00:00.0,""1259.0""";
"2012-06-15 00:00:00.0,""632.0""";
"2012-06-16 00:00:00.0,""2309.0""";
"2012-06-17 00:00:00.0,""1078.0""";
"2012-06-18 00:00:00.0,""2334.0""";
"2012-06-19 00:00:00.0,""2593.0""";
"2012-06-20 00:00:00.0,""792.0""";
"2012-06-21 00:00:00.0,""2525.0""";
"2012-06-22 00:00:00.0,""2806.0""";
"2012-06-23 00:00:00.0,""3029.0""";
"2012-06-24 00:00:00.0,""3096.0""";
"2012-06-25 00:00:00.0,""3033.0""";
"2012-06-26 00:00:00.0,""2826.0""";
"2012-06-27 00:00:00.0,""2701.0""";
"2012-06-28 00:00:00.0,""1985.0""";
"2012-06-29 00:00:00.0,""1251.0""";
"2012-06-30 00:00:00.0,""1495.0""";
"2012-07-01 00:00:00.0,""2685.0""";
"2012-07-02 00:00:00.0,""2160.0""";
"2012-07-03 00:00:00.0,""1743.0""";
"2012-07-04 00:00:00.0,""1285.0""";
"2012-07-05 00:00:00.0,""783.0""";
"2012-07-06 00:00:00.0,""930.0""";
"2012-07-07 00:00:00.0,""842.0""";
"2012-07-08 00:00:00.0,""1466.0""";
"2012-07-09 00:00:00.0,""1464.0""";
"2012-07-10 00:00:00.0,""1430.0""";
"2012-07-11 00:00:00.0,""2490.0""";
"2012-07-12 00:00:00.0,""2865.0""";
"2012-07-13 00:00:00.0,""680.0""";
"2012-07-14 00:00:00.0,""1736.0""";
"2012-07-15 00:00:00.0,""2857.0""";
"2012-07-16 00:00:00.0,""2987.0""";
"2012-07-17 00:00:00.0,""2982.0""";
"2012-07-18 00:00:00.0,""2911.0""";
"2012-07-19 00:00:00.0,""2902.0""";
"2012-07-20 00:00:00.0,""2695.0""";
"2012-07-21 00:00:00.0,""2783.0""";
"2012-07-22 00:00:00.0,""2895.0""";
"2012-07-23 00:00:00.0,""2890.0""";
"2012-07-24 00:00:00.0,""2817.0""";
"2012-07-25 00:00:00.0,""1916.0""";
"2012-07-26 00:00:00.0,""1628.0""";
"2012-07-27 00:00:00.0,""2636.0""";
"2012-07-28 00:00:00.0,""1161.0""";
"2012-07-29 00:00:00.0,""2823.0""";
"2012-07-30 00:00:00.0,""2833.0""";
"2012-07-31 00:00:00.0,""2581.0""";
"2012-08-01 00:00:00.0,""1484.0""";
"2012-08-02 00:00:00.0,""2725.0""";
"2012-08-03 00:00:00.0,""2658.0""";
"2012-08-04 00:00:00.0,""923.0""";
"2012-08-05 00:00:00.0,""1726.0""";
"2012-08-06 00:00:00.0,""1702.0""";
"2012-08-07 00:00:00.0,""2630.0""";
"2012-08-08 00:00:00.0,""2698.0""";
"2012-08-09 00:00:00.0,""2696.0""";
"2012-08-10 00:00:00.0,""2563.0""";
"2012-08-11 00:00:00.0,""2022.0""";
"2012-08-12 00:00:00.0,""1674.0""";
"2012-08-13 00:00:00.0,""1370.0""";
"2012-08-14 00:00:00.0,""468.0""";
"2012-08-15 00:00:00.0,""1323.0""";
"2012-08-16 00:00:00.0,""2527.0""";
"2012-08-17 00:00:00.0,""2628.0""";
"2012-08-18 00:00:00.0,""2494.0""";
"2012-08-19 00:00:00.0,""1942.0""";
"2012-08-20 00:00:00.0,""2179.0""";
"2012-08-21 00:00:00.0,""2541.0""";
"2012-08-22 00:00:00.0,""1807.0""";
"2012-08-23 00:00:00.0,""1240.0""";
"2012-08-24 00:00:00.0,""471.0""";
"2012-08-25 00:00:00.0,""1634.0""";
"2012-08-26 00:00:00.0,""2464.0""";
"2012-08-27 00:00:00.0,""1503.0""";
"2012-08-28 00:00:00.0,""2039.0""";
"2012-08-29 00:00:00.0,""1817.0""";
"2012-08-30 00:00:00.0,""2303.0""";
"2012-08-31 00:00:00.0,""2419.0""";
"2012-09-01 00:00:00.0,""2331.0""";
"2012-09-02 00:00:00.0,""2399.0""";
"2012-09-03 00:00:00.0,""2340.0""";
"2012-09-04 00:00:00.0,""2110.0""";
"2012-09-05 00:00:00.0,""2276.0""";
"2012-09-06 00:00:00.0,""2164.0""";
"2012-09-07 00:00:00.0,""2022.0""";
"2012-09-08 00:00:00.0,""2156.0""";
"2012-09-09 00:00:00.0,""1544.0""";
"2012-09-10 00:00:00.0,""1632.0""";
"2012-09-11 00:00:00.0,""1317.0""";
"2012-09-12 00:00:00.0,""1867.0""";
"2012-09-13 00:00:00.0,""2146.0""";
"2012-09-14 00:00:00.0,""2199.0""";
"2012-09-15 00:00:00.0,""2167.0""";
"2012-09-16 00:00:00.0,""1819.0""";
"2012-09-17 00:00:00.0,""1110.0""";
"2012-09-18 00:00:00.0,""1677.0""";
"2012-09-19 00:00:00.0,""2001.0""";
"2012-09-20 00:00:00.0,""1954.0""";
"2012-09-21 00:00:00.0,""894.0""";
"2012-09-22 00:00:00.0,""1749.0""";
"2012-09-23 00:00:00.0,""264.0""";
"2012-09-24 00:00:00.0,""461.0""";
"2012-09-25 00:00:00.0,""230.0""";
"2012-09-26 00:00:00.0,""677.0""";
"2012-09-27 00:00:00.0,""1912.0""";
"2012-09-28 00:00:00.0,""1659.0""";
"2012-09-29 00:00:00.0,""1821.0""";
"2012-09-30 00:00:00.0,""1782.0""";
"2012-10-01 00:00:00.0,""1834.0""";
"2012-10-02 00:00:00.0,""594.0""";
"2012-10-03 00:00:00.0,""1150.0""";
"2012-10-04 00:00:00.0,""1718.0""";
"2012-10-05 00:00:00.0,""1747.0""";
"2012-10-06 00:00:00.0,""608.0""";
"2012-10-07 00:00:00.0,""1594.0""";
"2012-10-08 00:00:00.0,""754.0""";
"2012-10-09 00:00:00.0,""630.0""";
"2012-10-10 00:00:00.0,""391.0""";
"2012-10-11 00:00:00.0,""482.0""";
"2012-10-12 00:00:00.0,""1182.0""";
"2012-10-13 00:00:00.0,""1435.0""";
"2012-10-14 00:00:00.0,""705.0""";
"2012-10-15 00:00:00.0,""815.0""";
"2012-10-16 00:00:00.0,""136.0""";
"2012-10-17 00:00:00.0,""268.0""";
"2012-10-18 00:00:00.0,""462.0""";
"2012-10-19 00:00:00.0,""1272.0""";
"2012-10-20 00:00:00.0,""1317.0""";
"2012-10-21 00:00:00.0,""1198.0""";
"2012-10-22 00:00:00.0,""736.0""";
"2012-10-23 00:00:00.0,""1349.0""";
"2012-10-24 00:00:00.0,""360.0""";
"2012-10-25 00:00:00.0,""411.0""";
"2012-10-26 00:00:00.0,""924.0""";
"2012-10-27 00:00:00.0,""644.0""";
"2012-10-28 00:00:00.0,""1378.0""";
"2012-10-29 00:00:00.0,""1237.0""";
"2012-10-30 00:00:00.0,""922.0""";
"2012-10-31 00:00:00.0,""720.0""";
"2012-11-01 00:00:00.0,""439.0""";
"2012-11-02 00:00:00.0,""367.0""";
"2012-11-03 00:00:00.0,""344.0""";
"2012-11-04 00:00:00.0,""678.0""";
"2012-11-05 00:00:00.0,""744.0""";
"2012-11-06 00:00:00.0,""1191.0""";
"2012-11-07 00:00:00.0,""704.0""";
"2012-11-08 00:00:00.0,""178.0""";
"2012-11-09 00:00:00.0,""661.0""";
"2012-11-10 00:00:00.0,""397.0""";
"2012-11-11 00:00:00.0,""678.0""";
"2012-11-12 00:00:00.0,""1117.0""";
"2012-11-13 00:00:00.0,""1112.0""";
"2012-11-14 00:00:00.0,""813.0""";
"2012-11-15 00:00:00.0,""883.0""";
"2012-11-16 00:00:00.0,""322.0""";
"2012-11-17 00:00:00.0,""94.0""";
"2012-11-18 00:00:00.0,""1041.0""";
"2012-11-19 00:00:00.0,""594.0""";
"2012-11-20 00:00:00.0,""196.0""";
"2012-11-21 00:00:00.0,""838.0""";
"2012-11-22 00:00:00.0,""599.0""";
"2012-11-23 00:00:00.0,""307.0""";
"2012-11-24 00:00:00.0,""223.0""";
"2012-11-25 00:00:00.0,""305.0""";
"2012-11-26 00:00:00.0,""391.0""";
"2012-11-27 00:00:00.0,""245.0""";
"2012-11-28 00:00:00.0,""216.0""";
"2012-11-29 00:00:00.0,""245.0""";
"2012-11-30 00:00:00.0,""263.0""";
"2012-12-01 00:00:00.0,""475.0""";
"2012-12-02 00:00:00.0,""746.0""";
"2012-12-03 00:00:00.0,""242.0""";
"2012-12-04 00:00:00.0,""395.0""";
"2012-12-05 00:00:00.0,""386.0""";
"2012-12-06 00:00:00.0,""-9999.0""";
"2012-12-07 00:00:00.0,""232.0""";
"2012-12-08 00:00:00.0,""886.0""";
"2012-12-09 00:00:00.0,""806.0""";
"2012-12-10 00:00:00.0,""565.0""";
"2012-12-11 00:00:00.0,""676.0""";
"2012-12-12 00:00:00.0,""575.0""";
"2012-12-13 00:00:00.0,""112.0""";
"2012-12-14 00:00:00.0,""47.0""";
"2012-12-15 00:00:00.0,""143.0""";
"2012-12-16 00:00:00.0,""122.0""";
"2012-12-17 00:00:00.0,""323.0""";
"2012-12-18 00:00:00.0,""96.0""";
"2012-12-19 00:00:00.0,""75.0""";
"2012-12-20 00:00:00.0,""210.0""";
"2012-12-21 00:00:00.0,""482.0""";
"2012-12-22 00:00:00.0,""159.0""";
"2012-12-23 00:00:00.0,""846.0""";
"2012-12-24 00:00:00.0,""247.0""";
"2012-12-25 00:00:00.0,""216.0""";
"2012-12-26 00:00:00.0,""325.0""";
"2012-12-27 00:00:00.0,""117.0""";
"2012-12-28 00:00:00.0,""701.0""";
"2012-12-29 00:00:00.0,""476.0""";
"2012-12-30 00:00:00.0,""146.0""";
"2012-12-31 00:00:00.0,""91.0""";
"2013-01-01 00:00:00.0,""275.0""";
"2013-01-02 00:00:00.0,""777.0""";
"2013-01-03 00:00:00.0,""866.0""";
"2013-01-04 00:00:00.0,""888.0""";
"2013-01-05 00:00:00.0,""872.0""";
"2013-01-06 00:00:00.0,""923.0""";
"2013-01-07 00:00:00.0,""926.0""";
"2013-01-08 00:00:00.0,""439.0""";
"2013-01-09 00:00:00.0,""167.0""";
"2013-01-10 00:00:00.0,""199.0""";
"2013-01-11 00:00:00.0,""334.0""";
"2013-01-12 00:00:00.0,""176.0""";
"2013-01-13 00:00:00.0,""323.0""";
"2013-01-14 00:00:00.0,""170.0""";
"2013-01-15 00:00:00.0,""256.0""";
"2013-01-16 00:00:00.0,""222.0""";
"2013-01-17 00:00:00.0,""209.0""";
"2013-01-18 00:00:00.0,""57.0""";
"2013-01-19 00:00:00.0,""98.0""";
"2013-01-20 00:00:00.0,""159.0""";
"2013-01-21 00:00:00.0,""647.0""";
"2013-01-22 00:00:00.0,""280.0""";
"2013-01-23 00:00:00.0,""326.0""";
"2013-01-24 00:00:00.0,""550.0""";
"2013-01-25 00:00:00.0,""205.0""";
"2013-01-26 00:00:00.0,""896.0""";
"2013-01-27 00:00:00.0,""130.0""";
"2013-01-28 00:00:00.0,""376.0""";
"2013-01-29 00:00:00.0,""120.0""";
"2013-01-30 00:00:00.0,""84.0""";
"2013-01-31 00:00:00.0,""125.0""";
"2013-02-01 00:00:00.0,""66.0""";
"2013-02-02 00:00:00.0,""498.0""";
"2013-02-03 00:00:00.0,""974.0""";
"2013-02-04 00:00:00.0,""450.0""";
"2013-02-05 00:00:00.0,""831.0""";
"2013-02-06 00:00:00.0,""281.0""";
"2013-02-07 00:00:00.0,""640.0""";
"2013-02-08 00:00:00.0,""834.0""";
"2013-02-09 00:00:00.0,""824.0""";
"2013-02-10 00:00:00.0,""208.0""";
"2013-02-11 00:00:00.0,""660.0""";
"2013-02-12 00:00:00.0,""475.0""";
"2013-02-13 00:00:00.0,""347.0""";
"2013-02-14 00:00:00.0,""493.0""";
"2013-02-15 00:00:00.0,""1334.0""";
"2013-02-16 00:00:00.0,""1124.0""";
"2013-02-17 00:00:00.0,""231.0""";
"2013-02-18 00:00:00.0,""1074.0""";
"2013-02-19 00:00:00.0,""464.0""";
"2013-02-20 00:00:00.0,""765.0""";
"2013-02-21 00:00:00.0,""357.0""";
"2013-02-22 00:00:00.0,""297.0""";
"2013-02-23 00:00:00.0,""718.0""";
"2013-02-24 00:00:00.0,""505.0""";
"2013-02-25 00:00:00.0,""902.0""";
"2013-02-26 00:00:00.0,""983.0""";
"2013-02-27 00:00:00.0,""1024.0""";
"2013-02-28 00:00:00.0,""1350.0""";
"2013-03-01 00:00:00.0,""1683.0""";
"2013-03-02 00:00:00.0,""1465.0""";
"2013-03-03 00:00:00.0,""1466.0""";
"2013-03-04 00:00:00.0,""609.0""";
"2013-03-05 00:00:00.0,""622.0""";
"2013-03-06 00:00:00.0,""303.0""";
"2013-03-07 00:00:00.0,""226.0""";
"2013-03-08 00:00:00.0,""703.0""";
"2013-03-09 00:00:00.0,""299.0""";
"2013-03-10 00:00:00.0,""410.0""";
"2013-03-11 00:00:00.0,""381.0""";
"2013-03-12 00:00:00.0,""375.0""";
"2013-03-13 00:00:00.0,""998.0""";
