"Instante lectura,""Irradiación global diaria""";
"2013-08-01 00:00:00.0,""2838.0""";
"2013-08-02 00:00:00.0,""2165.0""";
"2013-08-03 00:00:00.0,""2302.0""";
"2013-08-04 00:00:00.0,""2731.0""";
"2013-08-05 00:00:00.0,""1929.0""";
"2013-08-06 00:00:00.0,""1294.0""";
"2013-08-07 00:00:00.0,""1134.0""";
"2013-08-08 00:00:00.0,""2258.0""";
"2013-08-09 00:00:00.0,""2701.0""";
"2013-08-10 00:00:00.0,""2677.0""";
"2013-08-11 00:00:00.0,""2629.0""";
"2013-08-12 00:00:00.0,""2492.0""";
"2013-08-13 00:00:00.0,""2545.0""";
"2013-08-14 00:00:00.0,""2521.0""";
"2013-08-15 00:00:00.0,""2460.0""";
"2013-08-16 00:00:00.0,""2224.0""";
"2013-08-17 00:00:00.0,""2545.0""";
"2013-08-18 00:00:00.0,""2500.0""";
"2013-08-19 00:00:00.0,""2549.0""";
"2013-08-20 00:00:00.0,""2538.0""";
"2013-08-21 00:00:00.0,""2562.0""";
"2013-08-22 00:00:00.0,""2388.0""";
"2013-08-23 00:00:00.0,""2350.0""";
"2013-08-24 00:00:00.0,""2450.0""";
"2013-08-25 00:00:00.0,""2160.0""";
"2013-08-26 00:00:00.0,""2446.0""";
"2013-08-27 00:00:00.0,""2363.0""";
"2013-08-28 00:00:00.0,""2379.0""";
"2013-08-29 00:00:00.0,""2451.0""";
"2013-08-30 00:00:00.0,""2360.0""";
"2013-08-31 00:00:00.0,""2358.0""";
"2013-09-01 00:00:00.0,""2374.0""";
"2013-09-02 00:00:00.0,""2317.0""";
"2013-09-03 00:00:00.0,""2191.0""";
"2013-09-04 00:00:00.0,""1970.0""";
"2013-09-05 00:00:00.0,""578.0""";
"2013-09-06 00:00:00.0,""787.0""";
"2013-09-07 00:00:00.0,""1335.0""";
"2013-09-08 00:00:00.0,""2177.0""";
"2013-09-09 00:00:00.0,""2157.0""";
"2013-09-10 00:00:00.0,""2194.0""";
"2013-09-11 00:00:00.0,""2178.0""";
"2013-09-12 00:00:00.0,""2189.0""";
"2013-09-13 00:00:00.0,""2170.0""";
"2013-09-14 00:00:00.0,""1854.0""";
"2013-09-15 00:00:00.0,""1931.0""";
"2013-09-16 00:00:00.0,""1565.0""";
"2013-09-17 00:00:00.0,""2067.0""";
"2013-09-18 00:00:00.0,""806.0""";
"2013-09-19 00:00:00.0,""1908.0""";
"2013-09-20 00:00:00.0,""1921.0""";
"2013-09-21 00:00:00.0,""1784.0""";
"2013-09-22 00:00:00.0,""1860.0""";
"2013-09-23 00:00:00.0,""1808.0""";
"2013-09-24 00:00:00.0,""1469.0""";
"2013-09-25 00:00:00.0,""534.0""";
"2013-09-26 00:00:00.0,""1159.0""";
"2013-09-27 00:00:00.0,""177.0""";
"2013-09-28 00:00:00.0,""414.0""";
"2013-09-29 00:00:00.0,""413.0""";
"2013-09-30 00:00:00.0,""628.0""";
"2013-10-01 00:00:00.0,""1310.0""";
"2013-10-02 00:00:00.0,""792.0""";
"2013-10-03 00:00:00.0,""452.0""";
"2013-10-04 00:00:00.0,""918.0""";
"2013-10-05 00:00:00.0,""1181.0""";
"2013-10-06 00:00:00.0,""1702.0""";
"2013-10-07 00:00:00.0,""1727.0""";
"2013-10-08 00:00:00.0,""1717.0""";
"2013-10-09 00:00:00.0,""1726.0""";
"2013-10-10 00:00:00.0,""1689.0""";
"2013-10-11 00:00:00.0,""1593.0""";
"2013-10-12 00:00:00.0,""1235.0""";
"2013-10-13 00:00:00.0,""626.0""";
"2013-10-14 00:00:00.0,""708.0""";
"2013-10-15 00:00:00.0,""224.0""";
"2013-10-16 00:00:00.0,""238.0""";
"2013-10-17 00:00:00.0,""747.0""";
"2013-10-18 00:00:00.0,""242.0""";
"2013-10-19 00:00:00.0,""440.0""";
"2013-10-20 00:00:00.0,""198.0""";
"2013-10-21 00:00:00.0,""153.0""";
"2013-10-22 00:00:00.0,""185.0""";
"2013-10-23 00:00:00.0,""596.0""";
"2013-10-24 00:00:00.0,""96.0""";
"2013-10-25 00:00:00.0,""576.0""";
"2013-10-26 00:00:00.0,""570.0""";
"2013-10-27 00:00:00.0,""610.0""";
"2013-10-28 00:00:00.0,""626.0""";
"2013-10-29 00:00:00.0,""840.0""";
"2013-10-30 00:00:00.0,""1247.0""";
"2013-10-31 00:00:00.0,""1213.0""";
"2013-11-01 00:00:00.0,""124.0""";
"2013-11-02 00:00:00.0,""153.0""";
"2013-11-03 00:00:00.0,""665.0""";
"2013-11-04 00:00:00.0,""101.0""";
"2013-11-05 00:00:00.0,""121.0""";
"2013-11-06 00:00:00.0,""169.0""";
"2013-11-07 00:00:00.0,""159.0""";
"2013-11-08 00:00:00.0,""453.0""";
"2013-11-09 00:00:00.0,""138.0""";
"2013-11-10 00:00:00.0,""383.0""";
"2013-11-11 00:00:00.0,""925.0""";
"2013-11-12 00:00:00.0,""492.0""";
"2013-11-13 00:00:00.0,""1026.0""";
"2013-11-14 00:00:00.0,""1106.0""";
"2013-11-15 00:00:00.0,""353.0""";
"2013-11-16 00:00:00.0,""887.0""";
"2013-11-17 00:00:00.0,""922.0""";
"2013-11-18 00:00:00.0,""239.0""";
"2013-11-19 00:00:00.0,""511.0""";
"2013-11-20 00:00:00.0,""720.0""";
"2013-11-21 00:00:00.0,""215.0""";
"2013-11-22 00:00:00.0,""937.0""";
"2013-11-23 00:00:00.0,""999.0""";
"2013-11-24 00:00:00.0,""912.0""";
"2013-11-25 00:00:00.0,""988.0""";
"2013-11-26 00:00:00.0,""771.0""";
"2013-11-27 00:00:00.0,""972.0""";
"2013-11-28 00:00:00.0,""964.0""";
"2013-11-29 00:00:00.0,""942.0""";
"2013-11-30 00:00:00.0,""403.0""";
"2013-12-01 00:00:00.0,""934.0""";
"2013-12-02 00:00:00.0,""961.0""";
"2013-12-03 00:00:00.0,""927.0""";
"2013-12-04 00:00:00.0,""912.0""";
"2013-12-05 00:00:00.0,""908.0""";
"2013-12-06 00:00:00.0,""934.0""";
"2013-12-07 00:00:00.0,""926.0""";
"2013-12-08 00:00:00.0,""916.0""";
"2013-12-09 00:00:00.0,""896.0""";
"2013-12-10 00:00:00.0,""810.0""";
"2013-12-11 00:00:00.0,""481.0""";
"2013-12-12 00:00:00.0,""533.0""";
"2013-12-13 00:00:00.0,""137.0""";
"2013-12-14 00:00:00.0,""717.0""";
"2013-12-15 00:00:00.0,""864.0""";
"2013-12-16 00:00:00.0,""796.0""";
"2013-12-17 00:00:00.0,""162.0""";
"2013-12-18 00:00:00.0,""81.0""";
"2013-12-19 00:00:00.0,""294.0""";
"2013-12-20 00:00:00.0,""648.0""";
"2013-12-21 00:00:00.0,""247.0""";
"2013-12-22 00:00:00.0,""135.0""";
"2013-12-23 00:00:00.0,""70.0""";
"2013-12-24 00:00:00.0,""37.0""";
"2013-12-25 00:00:00.0,""277.0""";
"2013-12-26 00:00:00.0,""184.0""";
"2013-12-27 00:00:00.0,""150.0""";
"2013-12-28 00:00:00.0,""372.0""";
"2013-12-29 00:00:00.0,""318.0""";
"2013-12-30 00:00:00.0,""83.0""";
"2013-12-31 00:00:00.0,""150.0""";
"2014-01-01 00:00:00.0,""70.0""";
"2014-01-02 00:00:00.0,""137.0""";
"2014-01-03 00:00:00.0,""421.0""";
"2014-01-04 00:00:00.0,""323.0""";
"2014-01-05 00:00:00.0,""91.0""";
"2014-01-06 00:00:00.0,""128.0""";
"2014-01-07 00:00:00.0,""133.0""";
"2014-01-08 00:00:00.0,""209.0""";
"2014-01-09 00:00:00.0,""353.0""";
"2014-01-10 00:00:00.0,""232.0""";
"2014-01-11 00:00:00.0,""568.0""";
"2014-01-12 00:00:00.0,""113.0""";
"2014-01-13 00:00:00.0,""172.0""";
"2014-01-14 00:00:00.0,""121.0""";
"2014-01-15 00:00:00.0,""110.0""";
"2014-01-16 00:00:00.0,""286.0""";
"2014-01-17 00:00:00.0,""269.0""";
"2014-01-18 00:00:00.0,""358.0""";
"2014-01-19 00:00:00.0,""387.0""";
"2014-01-20 00:00:00.0,""386.0""";
"2014-01-21 00:00:00.0,""145.0""";
"2014-01-22 00:00:00.0,""230.0""";
"2014-01-23 00:00:00.0,""283.0""";
"2014-01-24 00:00:00.0,""272.0""";
"2014-01-25 00:00:00.0,""216.0""";
"2014-01-26 00:00:00.0,""156.0""";
"2014-01-27 00:00:00.0,""245.0""";
"2014-01-28 00:00:00.0,""266.0""";
"2014-01-29 00:00:00.0,""338.0""";
"2014-01-30 00:00:00.0,""172.0""";
"2014-01-31 00:00:00.0,""205.0""";
"2014-02-01 00:00:00.0,""619.0""";
"2014-02-02 00:00:00.0,""253.0""";
"2014-02-03 00:00:00.0,""400.0""";
"2014-02-04 00:00:00.0,""113.0""";
"2014-02-05 00:00:00.0,""528.0""";
"2014-02-06 00:00:00.0,""84.0""";
"2014-02-07 00:00:00.0,""224.0""";
"2014-02-08 00:00:00.0,""431.0""";
"2014-02-09 00:00:00.0,""164.0""";
"2014-02-10 00:00:00.0,""735.0""";
"2014-02-11 00:00:00.0,""355.0""";
"2014-02-12 00:00:00.0,""318.0""";
"2014-02-13 00:00:00.0,""759.0""";
"2014-02-14 00:00:00.0,""118.0""";
"2014-02-15 00:00:00.0,""489.0""";
"2014-02-16 00:00:00.0,""1012.0""";
"2014-02-17 00:00:00.0,""219.0""";
"2014-02-18 00:00:00.0,""772.0""";
"2014-02-19 00:00:00.0,""943.0""";
"2014-02-20 00:00:00.0,""420.0""";
"2014-02-21 00:00:00.0,""424.0""";
"2014-02-22 00:00:00.0,""559.0""";
"2014-02-23 00:00:00.0,""1029.0""";
"2014-02-24 00:00:00.0,""468.0""";
"2014-02-25 00:00:00.0,""366.0""";
"2014-02-26 00:00:00.0,""985.0""";
"2014-02-27 00:00:00.0,""1184.0""";
"2014-02-28 00:00:00.0,""311.0""";
"2014-03-01 00:00:00.0,""183.0""";
"2014-03-02 00:00:00.0,""192.0""";
"2014-03-03 00:00:00.0,""411.0""";
"2014-03-04 00:00:00.0,""204.0""";
"2014-03-05 00:00:00.0,""1090.0""";
"2014-03-06 00:00:00.0,""1791.0""";
"2014-03-07 00:00:00.0,""1822.0""";
"2014-03-08 00:00:00.0,""1839.0""";
"2014-03-09 00:00:00.0,""1372.0""";
"2014-03-10 00:00:00.0,""1895.0""";
"2014-03-11 00:00:00.0,""1968.0""";
"2014-03-12 00:00:00.0,""1801.0""";
"2014-03-13 00:00:00.0,""1879.0""";
"2014-03-14 00:00:00.0,""1823.0""";
"2014-03-15 00:00:00.0,""1994.0""";
"2014-03-16 00:00:00.0,""2016.0""";
"2014-03-17 00:00:00.0,""1953.0""";
"2014-03-18 00:00:00.0,""1551.0""";
"2014-03-19 00:00:00.0,""2010.0""";
"2014-03-20 00:00:00.0,""1956.0""";
"2014-03-21 00:00:00.0,""333.0""";
"2014-03-22 00:00:00.0,""1082.0""";
"2014-03-23 00:00:00.0,""1263.0""";
"2014-03-24 00:00:00.0,""766.0""";
"2014-03-25 00:00:00.0,""302.0""";
"2014-03-26 00:00:00.0,""767.0""";
"2014-03-27 00:00:00.0,""986.0""";
"2014-03-28 00:00:00.0,""1108.0""";
"2014-03-29 00:00:00.0,""990.0""";
"2014-03-30 00:00:00.0,""501.0""";
"2014-03-31 00:00:00.0,""483.0""";
"2014-04-01 00:00:00.0,""278.0""";
"2014-04-02 00:00:00.0,""1275.0""";
"2014-04-03 00:00:00.0,""976.0""";
"2014-04-04 00:00:00.0,""406.0""";
"2014-04-05 00:00:00.0,""428.0""";
"2014-04-06 00:00:00.0,""1544.0""";
"2014-04-07 00:00:00.0,""453.0""";
"2014-04-08 00:00:00.0,""2265.0""";
"2014-04-09 00:00:00.0,""2186.0""";
"2014-04-10 00:00:00.0,""1639.0""";
"2014-04-11 00:00:00.0,""2256.0""";
"2014-04-12 00:00:00.0,""2228.0""";
"2014-04-13 00:00:00.0,""2356.0""";
"2014-04-14 00:00:00.0,""1559.0""";
"2014-04-15 00:00:00.0,""1334.0""";
"2014-04-16 00:00:00.0,""2193.0""";
"2014-04-17 00:00:00.0,""2414.0""";
"2014-04-18 00:00:00.0,""2022.0""";
"2014-04-19 00:00:00.0,""477.0""";
"2014-04-20 00:00:00.0,""712.0""";
"2014-04-21 00:00:00.0,""747.0""";
"2014-04-22 00:00:00.0,""1029.0""";
"2014-04-23 00:00:00.0,""1494.0""";
"2014-04-24 00:00:00.0,""588.0""";
"2014-04-25 00:00:00.0,""393.0""";
"2014-04-26 00:00:00.0,""1838.0""";
"2014-04-27 00:00:00.0,""1127.0""";
"2014-04-28 00:00:00.0,""1447.0""";
"2014-04-29 00:00:00.0,""653.0""";
"2014-04-30 00:00:00.0,""935.0""";
"2014-05-01 00:00:00.0,""2047.0""";
"2014-05-02 00:00:00.0,""2458.0""";
"2014-05-03 00:00:00.0,""2501.0""";
"2014-05-04 00:00:00.0,""2660.0""";
"2014-05-05 00:00:00.0,""2104.0""";
"2014-05-06 00:00:00.0,""958.0""";
"2014-05-07 00:00:00.0,""2549.0""";
"2014-05-08 00:00:00.0,""2615.0""";
"2014-05-09 00:00:00.0,""2574.0""";
"2014-05-10 00:00:00.0,""1813.0""";
"2014-05-11 00:00:00.0,""2691.0""";
"2014-05-12 00:00:00.0,""2531.0""";
"2014-05-13 00:00:00.0,""2748.0""";
"2014-05-14 00:00:00.0,""2898.0""";
"2014-05-15 00:00:00.0,""2952.0""";
"2014-05-16 00:00:00.0,""2993.0""";
"2014-05-17 00:00:00.0,""3018.0""";
"2014-05-18 00:00:00.0,""2843.0""";
"2014-05-19 00:00:00.0,""1026.0""";
"2014-05-20 00:00:00.0,""1037.0""";
"2014-05-21 00:00:00.0,""653.0""";
"2014-05-22 00:00:00.0,""1098.0""";
"2014-05-23 00:00:00.0,""925.0""";
"2014-05-24 00:00:00.0,""1716.0""";
"2014-05-25 00:00:00.0,""1939.0""";
"2014-05-26 00:00:00.0,""1086.0""";
"2014-05-27 00:00:00.0,""1590.0""";
"2014-05-28 00:00:00.0,""1128.0""";
"2014-05-29 00:00:00.0,""510.0""";
"2014-05-30 00:00:00.0,""1627.0""";
"2014-05-31 00:00:00.0,""2456.0""";
"2014-06-01 00:00:00.0,""2719.0""";
"2014-06-02 00:00:00.0,""2817.0""";
"2014-06-03 00:00:00.0,""2372.0""";
"2014-06-04 00:00:00.0,""1712.0""";
"2014-06-05 00:00:00.0,""2161.0""";
"2014-06-06 00:00:00.0,""752.0""";
"2014-06-07 00:00:00.0,""1461.0""";
"2014-06-08 00:00:00.0,""1075.0""";
"2014-06-09 00:00:00.0,""1472.0""";
"2014-06-10 00:00:00.0,""2161.0""";
"2014-06-11 00:00:00.0,""2992.0""";
"2014-06-12 00:00:00.0,""2875.0""";
"2014-06-13 00:00:00.0,""3042.0""";
"2014-06-14 00:00:00.0,""3086.0""";
"2014-06-15 00:00:00.0,""3071.0""";
"2014-06-16 00:00:00.0,""3127.0""";
"2014-06-17 00:00:00.0,""3103.0""";
"2014-06-18 00:00:00.0,""2948.0""";
"2014-06-19 00:00:00.0,""2208.0""";
"2014-06-20 00:00:00.0,""1572.0""";
"2014-06-21 00:00:00.0,""1575.0""";
"2014-06-22 00:00:00.0,""2077.0""";
"2014-06-23 00:00:00.0,""845.0""";
"2014-06-24 00:00:00.0,""1081.0""";
"2014-06-25 00:00:00.0,""692.0""";
"2014-06-26 00:00:00.0,""1575.0""";
"2014-06-27 00:00:00.0,""1629.0""";
"2014-06-28 00:00:00.0,""1086.0""";
"2014-06-29 00:00:00.0,""1294.0""";
"2014-06-30 00:00:00.0,""1779.0""";
"2014-07-01 00:00:00.0,""847.0""";
"2014-07-02 00:00:00.0,""1618.0""";
"2014-07-03 00:00:00.0,""2451.0""";
"2014-07-04 00:00:00.0,""2352.0""";
"2014-07-05 00:00:00.0,""868.0""";
"2014-07-06 00:00:00.0,""1743.0""";
"2014-07-07 00:00:00.0,""1817.0""";
"2014-07-08 00:00:00.0,""1557.0""";
"2014-07-09 00:00:00.0,""2878.0""";
"2014-07-10 00:00:00.0,""2987.0""";
"2014-07-11 00:00:00.0,""2994.0""";
"2014-07-12 00:00:00.0,""2905.0""";
"2014-07-13 00:00:00.0,""2831.0""";
"2014-07-14 00:00:00.0,""2597.0""";
"2014-07-15 00:00:00.0,""2845.0""";
"2014-07-16 00:00:00.0,""2830.0""";
"2014-07-17 00:00:00.0,""2930.0""";
"2014-07-18 00:00:00.0,""1445.0""";
"2014-07-19 00:00:00.0,""1009.0""";
"2014-07-20 00:00:00.0,""1413.0""";
"2014-07-21 00:00:00.0,""2784.0""";
"2014-07-22 00:00:00.0,""2835.0""";
"2014-07-23 00:00:00.0,""2674.0""";
"2014-07-24 00:00:00.0,""1710.0""";
"2014-07-25 00:00:00.0,""2344.0""";
"2014-07-26 00:00:00.0,""2707.0""";
"2014-07-27 00:00:00.0,""2667.0""";
"2014-07-28 00:00:00.0,""2454.0""";
"2014-07-29 00:00:00.0,""2769.0""";
"2014-07-30 00:00:00.0,""2784.0""";
"2014-07-31 00:00:00.0,""2642.0""";
"2014-08-01 00:00:00.0,""1517.0""";
"2014-08-02 00:00:00.0,""1182.0""";
"2014-08-03 00:00:00.0,""1187.0""";
"2014-08-04 00:00:00.0,""2681.0""";
"2014-08-05 00:00:00.0,""2463.0""";
"2014-08-06 00:00:00.0,""2278.0""";
"2014-08-07 00:00:00.0,""1448.0""";
"2014-08-08 00:00:00.0,""520.0""";
"2014-08-09 00:00:00.0,""1541.0""";
"2014-08-10 00:00:00.0,""643.0""";
"2014-08-11 00:00:00.0,""2267.0""";
"2014-08-12 00:00:00.0,""523.0""";
"2014-08-13 00:00:00.0,""1538.0""";
"2014-08-14 00:00:00.0,""1903.0""";
"2014-08-15 00:00:00.0,""2571.0""";
"2014-08-16 00:00:00.0,""2639.0""";
"2014-08-17 00:00:00.0,""2642.0""";
"2014-08-18 00:00:00.0,""2592.0""";
"2014-08-19 00:00:00.0,""2518.0""";
"2014-08-20 00:00:00.0,""2401.0""";
"2014-08-21 00:00:00.0,""2323.0""";
"2014-08-22 00:00:00.0,""2463.0""";
"2014-08-23 00:00:00.0,""2385.0""";
"2014-08-24 00:00:00.0,""2465.0""";
"2014-08-25 00:00:00.0,""1472.0""";
"2014-08-26 00:00:00.0,""383.0""";
"2014-08-27 00:00:00.0,""1129.0""";
"2014-08-28 00:00:00.0,""944.0""";
"2014-08-29 00:00:00.0,""1963.0""";
"2014-08-30 00:00:00.0,""1903.0""";
"2014-08-31 00:00:00.0,""2344.0""";
"2014-09-01 00:00:00.0,""2310.0""";
"2014-09-02 00:00:00.0,""2109.0""";
"2014-09-03 00:00:00.0,""782.0""";
"2014-09-04 00:00:00.0,""946.0""";
"2014-09-05 00:00:00.0,""2061.0""";
"2014-09-06 00:00:00.0,""864.0""";
"2014-09-07 00:00:00.0,""656.0""";
"2014-09-08 00:00:00.0,""1426.0""";
"2014-09-09 00:00:00.0,""1574.0""";
"2014-09-10 00:00:00.0,""1370.0""";
"2014-09-11 00:00:00.0,""1613.0""";
"2014-09-12 00:00:00.0,""1271.0""";
"2014-09-13 00:00:00.0,""1241.0""";
"2014-09-14 00:00:00.0,""1290.0""";
"2014-09-15 00:00:00.0,""839.0""";
"2014-09-16 00:00:00.0,""813.0""";
"2014-09-17 00:00:00.0,""567.0""";
"2014-09-18 00:00:00.0,""229.0""";
"2014-09-19 00:00:00.0,""476.0""";
"2014-09-20 00:00:00.0,""1206.0""";
"2014-09-21 00:00:00.0,""1165.0""";
"2014-09-22 00:00:00.0,""608.0""";
"2014-09-23 00:00:00.0,""913.0""";
"2014-09-24 00:00:00.0,""1597.0""";
"2014-09-25 00:00:00.0,""1605.0""";
"2014-09-26 00:00:00.0,""1668.0""";
"2014-09-27 00:00:00.0,""1498.0""";
"2014-09-28 00:00:00.0,""971.0""";
"2014-09-29 00:00:00.0,""1162.0""";
"2014-09-30 00:00:00.0,""1341.0""";
"2014-10-01 00:00:00.0,""1685.0""";
"2014-10-02 00:00:00.0,""1690.0""";
"2014-10-03 00:00:00.0,""1584.0""";
"2014-10-04 00:00:00.0,""562.0""";
"2014-10-05 00:00:00.0,""908.0""";
"2014-10-06 00:00:00.0,""227.0""";
"2014-10-07 00:00:00.0,""458.0""";
"2014-10-08 00:00:00.0,""169.0""";
"2014-10-09 00:00:00.0,""330.0""";
"2014-10-10 00:00:00.0,""1046.0""";
"2014-10-11 00:00:00.0,""759.0""";
"2014-10-12 00:00:00.0,""475.0""";
"2014-10-13 00:00:00.0,""346.0""";
"2014-10-14 00:00:00.0,""771.0""";
"2014-10-15 00:00:00.0,""164.0""";
"2014-10-16 00:00:00.0,""104.0""";
"2014-10-17 00:00:00.0,""131.0""";
"2014-10-18 00:00:00.0,""394.0""";
"2014-10-19 00:00:00.0,""861.0""";
"2014-10-20 00:00:00.0,""1162.0""";
"2014-10-21 00:00:00.0,""1205.0""";
"2014-10-22 00:00:00.0,""1368.0""";
"2014-10-23 00:00:00.0,""1141.0""";
"2014-10-24 00:00:00.0,""847.0""";
"2014-10-25 00:00:00.0,""1279.0""";
"2014-10-26 00:00:00.0,""1236.0""";
"2014-10-27 00:00:00.0,""1262.0""";
"2014-10-28 00:00:00.0,""1124.0""";
"2014-10-29 00:00:00.0,""1067.0""";
"2014-10-30 00:00:00.0,""1075.0""";
"2014-10-31 00:00:00.0,""720.0""";
"2014-11-01 00:00:00.0,""535.0""";
"2014-11-02 00:00:00.0,""232.0""";
"2014-11-03 00:00:00.0,""65.0""";
"2014-11-04 00:00:00.0,""287.0""";
"2014-11-05 00:00:00.0,""450.0""";
"2014-11-06 00:00:00.0,""162.0""";
"2014-11-07 00:00:00.0,""768.0""";
"2014-11-08 00:00:00.0,""155.0""";
"2014-11-09 00:00:00.0,""369.0""";
"2014-11-10 00:00:00.0,""179.0""";
"2014-11-11 00:00:00.0,""405.0""";
"2014-11-12 00:00:00.0,""318.0""";
"2014-11-13 00:00:00.0,""428.0""";
"2014-11-14 00:00:00.0,""185.0""";
"2014-11-15 00:00:00.0,""293.0""";
"2014-11-16 00:00:00.0,""138.0""";
"2014-11-17 00:00:00.0,""273.0""";
"2014-11-18 00:00:00.0,""449.0""";
"2014-11-19 00:00:00.0,""131.0""";
"2014-11-20 00:00:00.0,""354.0""";
"2014-11-21 00:00:00.0,""613.0""";
"2014-11-22 00:00:00.0,""352.0""";
"2014-11-23 00:00:00.0,""150.0""";
"2014-11-24 00:00:00.0,""394.0""";
"2014-11-25 00:00:00.0,""242.0""";
"2014-11-26 00:00:00.0,""484.0""";
"2014-11-27 00:00:00.0,""287.0""";
"2014-11-28 00:00:00.0,""214.0""";
"2014-11-29 00:00:00.0,""509.0""";
"2014-11-30 00:00:00.0,""855.0""";
"2014-12-01 00:00:00.0,""194.0""";
"2014-12-02 00:00:00.0,""225.0""";
"2014-12-03 00:00:00.0,""298.0""";
"2014-12-04 00:00:00.0,""390.0""";
"2014-12-05 00:00:00.0,""446.0""";
"2014-12-06 00:00:00.0,""408.0""";
"2014-12-07 00:00:00.0,""247.0""";
"2014-12-08 00:00:00.0,""188.0""";
"2014-12-09 00:00:00.0,""651.0""";
"2014-12-10 00:00:00.0,""235.0""";
"2014-12-11 00:00:00.0,""618.0""";
"2014-12-12 00:00:00.0,""86.0""";
"2014-12-13 00:00:00.0,""199.0""";
"2014-12-14 00:00:00.0,""263.0""";
"2014-12-15 00:00:00.0,""322.0""";
"2014-12-16 00:00:00.0,""130.0""";
"2014-12-17 00:00:00.0,""233.0""";
"2014-12-18 00:00:00.0,""494.0""";
"2014-12-19 00:00:00.0,""298.0""";
"2014-12-20 00:00:00.0,""229.0""";
"2014-12-21 00:00:00.0,""738.0""";
"2014-12-22 00:00:00.0,""809.0""";
"2014-12-23 00:00:00.0,""246.0""";
"2014-12-24 00:00:00.0,""264.0""";
"2014-12-25 00:00:00.0,""506.0""";
"2014-12-26 00:00:00.0,""518.0""";
"2014-12-27 00:00:00.0,""263.0""";
"2014-12-28 00:00:00.0,""332.0""";
"2014-12-29 00:00:00.0,""801.0""";
"2014-12-30 00:00:00.0,""827.0""";
"2014-12-31 00:00:00.0,""755.0""";
"2015-01-01 00:00:00.0,""826.0""";
"2015-01-02 00:00:00.0,""656.0""";
"2015-01-03 00:00:00.0,""858.0""";
"2015-01-04 00:00:00.0,""845.0""";
"2015-01-05 00:00:00.0,""851.0""";
"2015-01-06 00:00:00.0,""818.0""";
"2015-01-07 00:00:00.0,""818.0""";
"2015-01-08 00:00:00.0,""433.0""";
"2015-01-09 00:00:00.0,""859.0""";
"2015-01-10 00:00:00.0,""894.0""";
"2015-01-11 00:00:00.0,""737.0""";
"2015-01-12 00:00:00.0,""885.0""";
"2015-01-13 00:00:00.0,""96.0""";
"2015-01-14 00:00:00.0,""137.0""";
"2015-01-15 00:00:00.0,""53.0""";
"2015-01-16 00:00:00.0,""370.0""";
"2015-01-17 00:00:00.0,""293.0""";
"2015-01-18 00:00:00.0,""187.0""";
"2015-01-19 00:00:00.0,""515.0""";
"2015-01-20 00:00:00.0,""289.0""";
"2015-01-21 00:00:00.0,""175.0""";
"2015-01-22 00:00:00.0,""142.0""";
"2015-01-23 00:00:00.0,""376.0""";
"2015-01-24 00:00:00.0,""424.0""";
"2015-01-25 00:00:00.0,""914.0""";
"2015-01-26 00:00:00.0,""978.0""";
"2015-01-27 00:00:00.0,""857.0""";
"2015-01-28 00:00:00.0,""256.0""";
"2015-01-29 00:00:00.0,""130.0""";
"2015-01-30 00:00:00.0,""66.0""";
"2015-01-31 00:00:00.0,""332.0""";
"2015-02-01 00:00:00.0,""469.0""";
"2015-02-02 00:00:00.0,""264.0""";
"2015-02-03 00:00:00.0,""176.0""";
"2015-02-04 00:00:00.0,""541.0""";
"2015-02-05 00:00:00.0,""668.0""";
"2015-02-06 00:00:00.0,""631.0""";
"2015-02-07 00:00:00.0,""802.0""";
"2015-02-08 00:00:00.0,""1213.0""";
"2015-02-09 00:00:00.0,""1269.0""";
"2015-02-10 00:00:00.0,""1264.0""";
"2015-02-11 00:00:00.0,""993.0""";
"2015-02-12 00:00:00.0,""220.0""";
"2015-02-13 00:00:00.0,""137.0""";
"2015-02-14 00:00:00.0,""162.0""";
"2015-02-15 00:00:00.0,""237.0""";
"2015-02-16 00:00:00.0,""231.0""";
"2015-02-17 00:00:00.0,""801.0""";
"2015-02-18 00:00:00.0,""1282.0""";
"2015-02-19 00:00:00.0,""832.0""";
"2015-02-20 00:00:00.0,""201.0""";
"2015-02-21 00:00:00.0,""687.0""";
"2015-02-22 00:00:00.0,""229.0""";
"2015-02-23 00:00:00.0,""567.0""";
"2015-02-24 00:00:00.0,""321.0""";
"2015-02-25 00:00:00.0,""395.0""";
"2015-02-26 00:00:00.0,""197.0""";
"2015-02-27 00:00:00.0,""1065.0""";
"2015-02-28 00:00:00.0,""213.0""";
"2015-03-01 00:00:00.0,""201.0""";
"2015-03-02 00:00:00.0,""153.0""";
"2015-03-03 00:00:00.0,""252.0""";
"2015-03-04 00:00:00.0,""1360.0""";
"2015-03-05 00:00:00.0,""1684.0""";
"2015-03-06 00:00:00.0,""1731.0""";
"2015-03-07 00:00:00.0,""1823.0""";
"2015-03-08 00:00:00.0,""1849.0""";
"2015-03-09 00:00:00.0,""1819.0""";
"2015-03-10 00:00:00.0,""1629.0""";
"2015-03-11 00:00:00.0,""1815.0""";
"2015-03-12 00:00:00.0,""579.0""";
"2015-03-13 00:00:00.0,""1761.0""";
"2015-03-14 00:00:00.0,""1863.0""";
"2015-03-15 00:00:00.0,""1188.0""";
"2015-03-16 00:00:00.0,""1661.0""";
"2015-03-17 00:00:00.0,""976.0""";
"2015-03-18 00:00:00.0,""1714.0""";
"2015-03-19 00:00:00.0,""1342.0""";
