"Instante lectura","Irradiación global diaria"
"2014-01-01 00:00:00.0","279.0"
"2014-01-02 00:00:00.0","269.0"
"2014-01-03 00:00:00.0","524.0"
"2014-01-04 00:00:00.0","491.0"
"2014-01-05 00:00:00.0","376.0"
"2014-01-06 00:00:00.0","528.0"
"2014-01-07 00:00:00.0","425.0"
"2014-01-08 00:00:00.0","478.0"
"2014-01-09 00:00:00.0","115.0"
"2014-01-10 00:00:00.0","312.0"
"2014-01-11 00:00:00.0","788.0"
"2014-01-12 00:00:00.0","302.0"
"2014-01-13 00:00:00.0","227.0"
"2014-01-14 00:00:00.0","266.0"
"2014-01-15 00:00:00.0","493.0"
"2014-01-16 00:00:00.0","485.0"
"2014-01-17 00:00:00.0","517.0"
"2014-01-18 00:00:00.0","483.0"
"2014-01-19 00:00:00.0","499.0"
"2014-01-20 00:00:00.0","484.0"
"2014-01-21 00:00:00.0","220.0"
"2014-01-22 00:00:00.0","401.0"
"2014-01-23 00:00:00.0","472.0"
"2014-01-24 00:00:00.0","195.0"
"2014-01-25 00:00:00.0","251.0"
"2014-01-26 00:00:00.0","288.0"
"2014-01-27 00:00:00.0","604.0"
"2014-01-28 00:00:00.0","490.0"
"2014-01-29 00:00:00.0","617.0"
"2014-01-30 00:00:00.0","234.0"
"2014-01-31 00:00:00.0","371.0"
"2014-02-01 00:00:00.0","778.0"
"2014-02-02 00:00:00.0","793.0"
"2014-02-03 00:00:00.0","619.0"
"2014-02-04 00:00:00.0","152.0"
"2014-02-05 00:00:00.0","769.0"
"2014-02-06 00:00:00.0","321.0"
"2014-02-07 00:00:00.0","406.0"
"2014-02-08 00:00:00.0","834.0"
"2014-02-09 00:00:00.0","294.0"
"2014-02-10 00:00:00.0","942.0"
"2014-02-11 00:00:00.0","459.0"
"2014-02-12 00:00:00.0","389.0"
"2014-02-13 00:00:00.0","413.0"
"2014-02-14 00:00:00.0","275.0"
"2014-02-15 00:00:00.0","667.0"
"2014-02-16 00:00:00.0","960.0"
"2014-02-17 00:00:00.0","1000.0"
"2014-02-18 00:00:00.0","635.0"
"2014-02-19 00:00:00.0","572.0"
"2014-02-20 00:00:00.0","598.0"
"2014-02-21 00:00:00.0","916.0"
"2014-02-22 00:00:00.0","889.0"
"2014-02-23 00:00:00.0","1140.0"
"2014-02-24 00:00:00.0","862.0"
"2014-02-25 00:00:00.0","986.0"
"2014-02-26 00:00:00.0","1080.0"
"2014-02-27 00:00:00.0","1076.0"
"2014-02-28 00:00:00.0","553.0"
"2014-03-01 00:00:00.0","139.0"
"2014-03-02 00:00:00.0","282.0"
"2014-03-03 00:00:00.0","872.0"
"2014-03-04 00:00:00.0","357.0"
"2014-03-05 00:00:00.0","526.0"
"2014-03-06 00:00:00.0","1730.0"
"2014-03-07 00:00:00.0","1653.0"
"2014-03-08 00:00:00.0","1689.0"
"2014-03-09 00:00:00.0","1293.0"
"2014-03-10 00:00:00.0","1745.0"
"2014-03-11 00:00:00.0","1806.0"
"2014-03-12 00:00:00.0","1711.0"
"2014-03-13 00:00:00.0","1809.0"
