"Instante lectura","Irradiación global diaria"
"2014-01-01 00:00:00.0","171.0"
"2014-01-02 00:00:00.0","293.0"
"2014-01-03 00:00:00.0","534.0"
"2014-01-04 00:00:00.0","447.0"
"2014-01-05 00:00:00.0","200.0"
"2014-01-06 00:00:00.0","340.0"
"2014-01-07 00:00:00.0","392.0"
"2014-01-08 00:00:00.0","298.0"
"2014-01-09 00:00:00.0","391.0"
"2014-01-10 00:00:00.0","330.0"
"2014-01-11 00:00:00.0","560.0"
"2014-01-12 00:00:00.0","272.0"
"2014-01-13 00:00:00.0","343.0"
"2014-01-14 00:00:00.0","264.0"
"2014-01-15 00:00:00.0","238.0"
"2014-01-16 00:00:00.0","406.0"
"2014-01-17 00:00:00.0","545.0"
"2014-01-18 00:00:00.0","547.0"
"2014-01-19 00:00:00.0","416.0"
"2014-01-20 00:00:00.0","480.0"
"2014-01-21 00:00:00.0","231.0"
"2014-01-22 00:00:00.0","495.0"
"2014-01-23 00:00:00.0","481.0"
"2014-01-24 00:00:00.0","386.0"
"2014-01-25 00:00:00.0","257.0"
"2014-01-26 00:00:00.0","323.0"
"2014-01-27 00:00:00.0","384.0"
"2014-01-28 00:00:00.0","452.0"
"2014-01-29 00:00:00.0","676.0"
"2014-01-30 00:00:00.0","315.0"
"2014-01-31 00:00:00.0","372.0"
"2014-02-01 00:00:00.0","692.0"
"2014-02-02 00:00:00.0","616.0"
"2014-02-03 00:00:00.0","598.0"
"2014-02-04 00:00:00.0","129.0"
"2014-02-05 00:00:00.0","699.0"
"2014-02-06 00:00:00.0","216.0"
"2014-02-07 00:00:00.0","441.0"
"2014-02-08 00:00:00.0","558.0"
"2014-02-09 00:00:00.0","292.0"
"2014-02-10 00:00:00.0","730.0"
"2014-02-11 00:00:00.0","448.0"
"2014-02-12 00:00:00.0","495.0"
"2014-02-13 00:00:00.0","903.0"
"2014-02-14 00:00:00.0","284.0"
"2014-02-15 00:00:00.0","653.0"
"2014-02-16 00:00:00.0","1216.0"
"2014-02-17 00:00:00.0","530.0"
"2014-02-18 00:00:00.0","896.0"
"2014-02-19 00:00:00.0","856.0"
