"Instante lectura","Presión"
"2014-05-27 00:00:00.0","1007.8"
"2014-05-28 00:00:00.0","1007.6"
"2014-05-29 00:00:00.0","1007.8"
"2014-05-30 00:00:00.0","1014.2"
"2014-05-31 00:00:00.0","1014.2"
"2014-06-01 00:00:00.0","1013.2"
"2014-06-02 00:00:00.0","1011.9"
"2014-06-03 00:00:00.0","1008.3"
"2014-06-04 00:00:00.0","1007.0"
"2014-06-05 00:00:00.0","998.1"
"2014-06-06 00:00:00.0","994.2"
"2014-06-07 00:00:00.0","1000.7"
"2014-06-08 00:00:00.0","1005.9"
"2014-06-09 00:00:00.0","1006.4"
"2014-06-10 00:00:00.0","1009.4"
"2014-06-11 00:00:00.0","1010.0"
"2014-06-12 00:00:00.0","1010.2"
"2014-06-13 00:00:00.0","1010.2"
"2014-06-14 00:00:00.0","1009.6"
"2014-06-15 00:00:00.0","1008.1"
"2014-06-16 00:00:00.0","1006.4"
"2014-06-17 00:00:00.0","1004.6"
"2014-06-18 00:00:00.0","1004.3"
"2014-06-19 00:00:00.0","1004.6"
"2014-06-20 00:00:00.0","1003.5"
"2014-06-21 00:00:00.0","1003.1"
"2014-06-22 00:00:00.0","1006.9"
"2014-06-23 00:00:00.0","1007.8"
"2014-06-24 00:00:00.0","1007.4"
"2014-06-25 00:00:00.0","1007.4"
"2014-06-26 00:00:00.0","1007.4"
"2014-06-27 00:00:00.0","1007.0"
"2014-06-28 00:00:00.0","1005.0"
"2014-06-29 00:00:00.0","1011.2"
"2014-06-30 00:00:00.0","1006.6"
"2014-07-01 00:00:00.0","1003.4"
"2014-07-02 00:00:00.0","1008.4"
"2014-07-03 00:00:00.0","1009.1"
"2014-07-04 00:00:00.0","1007.2"
"2014-07-05 00:00:00.0","1003.5"
"2014-07-06 00:00:00.0","1005.1"
"2014-07-07 00:00:00.0","1010.3"
"2014-07-08 00:00:00.0","1012.9"
"2014-07-09 00:00:00.0","1013.6"
"2014-07-10 00:00:00.0","1012.9"
