"Instante lectura","Irradiación global diaria"
"2014-06-02 00:00:00.0","2682.0"
"2014-06-03 00:00:00.0","2681.0"
"2014-06-04 00:00:00.0","2082.0"
"2014-06-05 00:00:00.0","1994.0"
"2014-06-06 00:00:00.0","644.0"
"2014-06-07 00:00:00.0","2073.0"
"2014-06-08 00:00:00.0","1379.0"
"2014-06-09 00:00:00.0","1814.0"
"2014-06-10 00:00:00.0","2758.0"
"2014-06-11 00:00:00.0","2995.0"
"2014-06-12 00:00:00.0","2808.0"
"2014-06-13 00:00:00.0","3089.0"
"2014-06-14 00:00:00.0","2612.0"
"2014-06-15 00:00:00.0","3098.0"
"2014-06-16 00:00:00.0","3150.0"
"2014-06-17 00:00:00.0","3122.0"
"2014-06-18 00:00:00.0","2971.0"
"2014-06-19 00:00:00.0","2470.0"
"2014-06-20 00:00:00.0","2043.0"
"2014-06-21 00:00:00.0","2114.0"
"2014-06-22 00:00:00.0","2401.0"
"2014-06-23 00:00:00.0","1679.0"
"2014-06-24 00:00:00.0","1033.0"
"2014-06-25 00:00:00.0","963.0"
"2014-06-26 00:00:00.0","2088.0"
"2014-06-27 00:00:00.0","2286.0"
"2014-06-28 00:00:00.0","1737.0"
"2014-06-29 00:00:00.0","1511.0"
"2014-06-30 00:00:00.0","1997.0"
"2014-07-01 00:00:00.0","1523.0"
"2014-07-02 00:00:00.0","2030.0"
"2014-07-03 00:00:00.0","2870.0"
"2014-07-04 00:00:00.0","2685.0"
"2014-07-05 00:00:00.0","1583.0"
"2014-07-06 00:00:00.0","2095.0"
"2014-07-07 00:00:00.0","2192.0"
"2014-07-08 00:00:00.0","1655.0"
"2014-07-09 00:00:00.0","2961.0"
"2014-07-10 00:00:00.0","3107.0"
"2014-07-11 00:00:00.0","3082.0"
"2014-07-12 00:00:00.0","2960.0"
"2014-07-13 00:00:00.0","2818.0"
"2014-07-14 00:00:00.0","2635.0"
"2014-07-15 00:00:00.0","2577.0"
"2014-07-16 00:00:00.0","2351.0"
"2014-07-17 00:00:00.0","3033.0"
"2014-07-18 00:00:00.0","1504.0"
"2014-07-19 00:00:00.0","1243.0"
"2014-07-20 00:00:00.0","2111.0"
"2014-07-21 00:00:00.0","2947.0"
"2014-07-22 00:00:00.0","2731.0"
"2014-07-23 00:00:00.0","2781.0"
"2014-07-24 00:00:00.0","1396.0"
"2014-07-25 00:00:00.0","2070.0"
"2014-07-26 00:00:00.0","2574.0"
"2014-07-27 00:00:00.0","2698.0"
"2014-07-28 00:00:00.0","2253.0"
"2014-07-29 00:00:00.0","2895.0"
"2014-07-30 00:00:00.0","2827.0"
"2014-07-31 00:00:00.0","2459.0"
"2014-08-01 00:00:00.0","1585.0"
"2014-08-02 00:00:00.0","1789.0"
"2014-08-03 00:00:00.0","1564.0"
"2014-08-04 00:00:00.0","2663.0"
"2014-08-05 00:00:00.0","2533.0"
"2014-08-06 00:00:00.0","2111.0"
"2014-08-07 00:00:00.0","1511.0"
"2014-08-08 00:00:00.0","787.0"
"2014-08-09 00:00:00.0","1848.0"
"2014-08-10 00:00:00.0","1227.0"
"2014-08-11 00:00:00.0","2664.0"
"2014-08-12 00:00:00.0","950.0"
"2014-08-13 00:00:00.0","2026.0"
"2014-08-14 00:00:00.0","2230.0"
"2014-08-15 00:00:00.0","2633.0"
"2014-08-16 00:00:00.0","2707.0"
"2014-08-17 00:00:00.0","2645.0"
"2014-08-18 00:00:00.0","2335.0"
"2014-08-19 00:00:00.0","2440.0"
"2014-08-20 00:00:00.0","2365.0"
"2014-08-21 00:00:00.0","2403.0"
"2014-08-22 00:00:00.0","2231.0"
"2014-08-23 00:00:00.0","2063.0"
"2014-08-24 00:00:00.0","2485.0"
"2014-08-25 00:00:00.0","1850.0"
"2014-08-26 00:00:00.0","599.0"
"2014-08-27 00:00:00.0","1503.0"
"2014-08-28 00:00:00.0","1288.0"
"2014-08-29 00:00:00.0","1960.0"
"2014-08-30 00:00:00.0","2355.0"
"2014-08-31 00:00:00.0","2202.0"
"2014-09-01 00:00:00.0","2222.0"
"2014-09-02 00:00:00.0","2088.0"
"2014-09-03 00:00:00.0","948.0"
"2014-09-04 00:00:00.0","918.0"
"2014-09-05 00:00:00.0","1861.0"
"2014-09-06 00:00:00.0","1441.0"
"2014-09-07 00:00:00.0","610.0"
"2014-09-08 00:00:00.0","1585.0"
"2014-09-09 00:00:00.0","1853.0"
"2014-09-10 00:00:00.0","1472.0"
"2014-09-11 00:00:00.0","1817.0"
"2014-09-12 00:00:00.0","1415.0"
"2014-09-13 00:00:00.0","1502.0"
"2014-09-14 00:00:00.0","1379.0"
"2014-09-15 00:00:00.0","1169.0"
"2014-09-16 00:00:00.0","1038.0"
"2014-09-17 00:00:00.0","1177.0"
"2014-09-18 00:00:00.0","341.0"
"2014-09-19 00:00:00.0","767.0"
"2014-09-20 00:00:00.0","1255.0"
"2014-09-21 00:00:00.0","1647.0"
"2014-09-22 00:00:00.0","734.0"
"2014-09-23 00:00:00.0","489.0"
"2014-09-24 00:00:00.0","1784.0"
"2014-09-25 00:00:00.0","1784.0"
"2014-09-26 00:00:00.0","1775.0"
"2014-09-27 00:00:00.0","1530.0"
"2014-09-28 00:00:00.0","908.0"
"2014-09-29 00:00:00.0","1363.0"
"2014-09-30 00:00:00.0","1665.0"
"2014-10-01 00:00:00.0","1653.0"
"2014-10-02 00:00:00.0","1616.0"
"2014-10-03 00:00:00.0","1453.0"
"2014-10-04 00:00:00.0","747.0"
"2014-10-05 00:00:00.0","1151.0"
"2014-10-06 00:00:00.0","491.0"
"2014-10-07 00:00:00.0","632.0"
"2014-10-08 00:00:00.0","470.0"
"2014-10-09 00:00:00.0","672.0"
"2014-10-10 00:00:00.0","856.0"
"2014-10-11 00:00:00.0","876.0"
"2014-10-12 00:00:00.0","595.0"
"2014-10-13 00:00:00.0","423.0"
"2014-10-14 00:00:00.0","1016.0"
"2014-10-15 00:00:00.0","446.0"
"2014-10-16 00:00:00.0","221.0"
"2014-10-17 00:00:00.0","497.0"
"2014-10-18 00:00:00.0","683.0"
"2014-10-19 00:00:00.0","873.0"
"2014-10-20 00:00:00.0","1258.0"
"2014-10-21 00:00:00.0","1149.0"
"2014-10-22 00:00:00.0","1190.0"
"2014-10-23 00:00:00.0","1032.0"
"2014-10-24 00:00:00.0","853.0"
"2014-10-25 00:00:00.0","1199.0"
"2014-10-26 00:00:00.0","1201.0"
"2014-10-27 00:00:00.0","1199.0"
"2014-10-28 00:00:00.0","1093.0"
"2014-10-29 00:00:00.0","841.0"
"2014-10-30 00:00:00.0","1061.0"
"2014-10-31 00:00:00.0","652.0"
"2014-11-01 00:00:00.0","744.0"
"2014-11-02 00:00:00.0","400.0"
"2014-11-03 00:00:00.0","134.0"
"2014-11-04 00:00:00.0","670.0"
"2014-11-05 00:00:00.0","734.0"
"2014-11-06 00:00:00.0","211.0"
"2014-11-07 00:00:00.0","957.0"
"2014-11-08 00:00:00.0","203.0"
"2014-11-09 00:00:00.0","663.0"
"2014-11-10 00:00:00.0","202.0"
"2014-11-11 00:00:00.0","472.0"
"2014-11-12 00:00:00.0","638.0"
"2014-11-13 00:00:00.0","763.0"
"2014-11-14 00:00:00.0","368.0"
"2014-11-15 00:00:00.0","603.0"
