"Instante lectura,""Presión"""
"2012-05-18 00:00:00.0,""897.6"""
"2012-05-19 00:00:00.0,""896.3"""
"2012-05-20 00:00:00.0,""898.9"""
"2012-05-21 00:00:00.0,""906.2"""
"2012-05-22 00:00:00.0,""909.2"""
"2012-05-23 00:00:00.0,""909.8"""
"2012-05-24 00:00:00.0,""907.4"""
"2012-05-25 00:00:00.0,""901.5"""
"2012-05-26 00:00:00.0,""904.2"""
"2012-05-27 00:00:00.0,""906.5"""
"2012-05-28 00:00:00.0,""904.8"""
"2012-05-29 00:00:00.0,""904.8"""
"2012-05-30 00:00:00.0,""907.9"""
"2012-05-31 00:00:00.0,""907.0"""
"2012-06-01 00:00:00.0,""903.7"""
"2012-06-02 00:00:00.0,""903.0"""
"2012-06-03 00:00:00.0,""906.1"""
"2012-06-04 00:00:00.0,""907.1"""
"2012-06-05 00:00:00.0,""905.3"""
"2012-06-06 00:00:00.0,""899.2"""
"2012-06-07 00:00:00.0,""896.9"""
"2012-06-08 00:00:00.0,""904.7"""
"2012-06-09 00:00:00.0,""905.8"""
"2012-06-10 00:00:00.0,""904.5"""
"2012-06-11 00:00:00.0,""901.7"""
"2012-06-12 00:00:00.0,""906.0"""
"2012-06-13 00:00:00.0,""905.3"""
"2012-06-14 00:00:00.0,""902.1"""
"2012-06-15 00:00:00.0,""905.0"""
"2012-06-16 00:00:00.0,""907.8"""
"2012-06-17 00:00:00.0,""905.3"""
"2012-06-18 00:00:00.0,""905.2"""
"2012-06-19 00:00:00.0,""902.1"""
"2012-06-20 00:00:00.0,""900.4"""
"2012-06-21 00:00:00.0,""905.4"""
"2012-06-22 00:00:00.0,""910.2"""
"2012-06-23 00:00:00.0,""911.3"""
"2012-06-24 00:00:00.0,""912.3"""
"2012-06-25 00:00:00.0,""910.6"""
"2012-06-26 00:00:00.0,""909.1"""
"2012-06-27 00:00:00.0,""904.8"""
"2012-06-28 00:00:00.0,""901.9"""
"2012-06-29 00:00:00.0,""902.2"""
"2012-06-30 00:00:00.0,""905.9"""
"2012-07-01 00:00:00.0,""909.7"""
"2012-07-02 00:00:00.0,""907.5"""
"2012-07-03 00:00:00.0,""906.2"""
"2012-07-04 00:00:00.0,""903.7"""
"2012-07-05 00:00:00.0,""903.7"""
"2012-07-06 00:00:00.0,""903.7"""
"2012-07-07 00:00:00.0,""902.0"""
"2012-07-08 00:00:00.0,""905.2"""
"2012-07-09 00:00:00.0,""904.9"""
"2012-07-10 00:00:00.0,""906.3"""
"2012-07-11 00:00:00.0,""909.5"""
"2012-07-12 00:00:00.0,""909.7"""
"2012-07-13 00:00:00.0,""905.5"""
"2012-07-14 00:00:00.0,""907.5"""
"2012-07-15 00:00:00.0,""911.2"""
"2012-07-16 00:00:00.0,""914.3"""
"2012-07-17 00:00:00.0,""915.3"""
"2012-07-18 00:00:00.0,""911.4"""
"2012-07-19 00:00:00.0,""907.0"""
"2012-07-20 00:00:00.0,""906.3"""
"2012-07-21 00:00:00.0,""909.4"""
"2012-07-22 00:00:00.0,""909.8"""
"2012-07-23 00:00:00.0,""905.6"""
"2012-07-24 00:00:00.0,""902.5"""
"2012-07-25 00:00:00.0,""903.5"""
"2012-07-26 00:00:00.0,""903.8"""
"2012-07-27 00:00:00.0,""904.3"""
"2012-07-28 00:00:00.0,""905.1"""
"2012-07-29 00:00:00.0,""906.7"""
"2012-07-30 00:00:00.0,""908.2"""
"2012-07-31 00:00:00.0,""905.8"""
"2012-08-01 00:00:00.0,""905.4"""
"2012-08-02 00:00:00.0,""907.5"""
"2012-08-03 00:00:00.0,""907.5"""
"2012-08-04 00:00:00.0,""904.6"""
"2012-08-05 00:00:00.0,""902.9"""
"2012-08-06 00:00:00.0,""908.0"""
"2012-08-07 00:00:00.0,""908.0"""
"2012-08-08 00:00:00.0,""907.3"""
"2012-08-09 00:00:00.0,""908.6"""
"2012-08-10 00:00:00.0,""909.2"""
"2012-08-11 00:00:00.0,""908.8"""
"2012-08-12 00:00:00.0,""906.4"""
"2012-08-13 00:00:00.0,""903.2"""
"2012-08-14 00:00:00.0,""898.2"""
"2012-08-15 00:00:00.0,""901.3"""
"2012-08-16 00:00:00.0,""904.1"""
"2012-08-17 00:00:00.0,""903.6"""
"2012-08-18 00:00:00.0,""904.9"""
"2012-08-19 00:00:00.0,""907.8"""
"2012-08-20 00:00:00.0,""909.7"""
"2012-08-21 00:00:00.0,""908.7"""
"2012-08-22 00:00:00.0,""906.5"""
"2012-08-23 00:00:00.0,""903.9"""
"2012-08-24 00:00:00.0,""902.1"""
"2012-08-25 00:00:00.0,""907.7"""
"2012-08-26 00:00:00.0,""908.7"""
"2012-08-27 00:00:00.0,""905.8"""
"2012-08-28 00:00:00.0,""907.6"""
"2012-08-29 00:00:00.0,""909.4"""
"2012-08-30 00:00:00.0,""913.1"""
"2012-08-31 00:00:00.0,""913.7"""
"2012-09-01 00:00:00.0,""911.6"""
"2012-09-02 00:00:00.0,""911.5"""
"2012-09-03 00:00:00.0,""910.6"""
"2012-09-04 00:00:00.0,""907.9"""
"2012-09-05 00:00:00.0,""906.5"""
"2012-09-06 00:00:00.0,""908.1"""
"2012-09-07 00:00:00.0,""909.5"""
"2012-09-08 00:00:00.0,""908.6"""
"2012-09-09 00:00:00.0,""906.3"""
"2012-09-10 00:00:00.0,""905.2"""
"2012-09-11 00:00:00.0,""908.1"""
"2012-09-12 00:00:00.0,""910.3"""
"2012-09-13 00:00:00.0,""909.7"""
"2012-09-14 00:00:00.0,""907.9"""
"2012-09-15 00:00:00.0,""905.2"""
"2012-09-16 00:00:00.0,""903.7"""
"2012-09-17 00:00:00.0,""904.2"""
"2012-09-18 00:00:00.0,""904.4"""
"2012-09-19 00:00:00.0,""905.2"""
"2012-09-20 00:00:00.0,""903.5"""
"2012-09-21 00:00:00.0,""903.2"""
"2012-09-22 00:00:00.0,""900.1"""
"2012-09-23 00:00:00.0,""894.2"""
"2012-09-24 00:00:00.0,""901.8"""
"2012-09-25 00:00:00.0,""892.7"""
"2012-09-26 00:00:00.0,""895.5"""
"2012-09-27 00:00:00.0,""901.9"""
"2012-09-28 00:00:00.0,""902.0"""
"2012-09-29 00:00:00.0,""905.5"""
"2012-09-30 00:00:00.0,""908.1"""
"2012-10-01 00:00:00.0,""908.8"""
"2012-10-02 00:00:00.0,""909.5"""
"2012-10-03 00:00:00.0,""907.2"""
"2012-10-04 00:00:00.0,""905.3"""
"2012-10-05 00:00:00.0,""904.5"""
"2012-10-06 00:00:00.0,""906.8"""
"2012-10-07 00:00:00.0,""909.5"""
"2012-10-08 00:00:00.0,""907.8"""
"2012-10-09 00:00:00.0,""906.2"""
"2012-10-10 00:00:00.0,""902.9"""
"2012-10-11 00:00:00.0,""901.7"""
"2012-10-12 00:00:00.0,""905.4"""
"2012-10-13 00:00:00.0,""903.0"""
"2012-10-14 00:00:00.0,""899.1"""
"2012-10-15 00:00:00.0,""902.0"""
"2012-10-16 00:00:00.0,""897.5"""
"2012-10-17 00:00:00.0,""892.1"""
"2012-10-18 00:00:00.0,""891.9"""
"2012-10-19 00:00:00.0,""896.3"""
"2012-10-20 00:00:00.0,""899.7"""
"2012-10-21 00:00:00.0,""900.1"""
"2012-10-22 00:00:00.0,""904.7"""
"2012-10-23 00:00:00.0,""904.5"""
