"Instante lectura","Irradiación global diaria"
"2014-01-01 00:00:00.0","78.0"
"2014-01-02 00:00:00.0","106.0"
"2014-01-03 00:00:00.0","411.0"
"2014-01-04 00:00:00.0","304.0"
"2014-01-05 00:00:00.0","138.0"
"2014-01-06 00:00:00.0","185.0"
"2014-01-07 00:00:00.0","193.0"
"2014-01-08 00:00:00.0","234.0"
"2014-01-09 00:00:00.0","377.0"
"2014-01-10 00:00:00.0","292.0"
"2014-01-11 00:00:00.0","471.0"
"2014-01-12 00:00:00.0","159.0"
"2014-01-13 00:00:00.0","159.0"
"2014-01-14 00:00:00.0","183.0"
"2014-01-15 00:00:00.0","133.0"
"2014-01-16 00:00:00.0","333.0"
"2014-01-17 00:00:00.0","386.0"
"2014-01-18 00:00:00.0","394.0"
"2014-01-19 00:00:00.0","324.0"
"2014-01-20 00:00:00.0","467.0"
"2014-01-21 00:00:00.0","96.0"
"2014-01-22 00:00:00.0","533.0"
"2014-01-23 00:00:00.0","370.0"
"2014-01-24 00:00:00.0","157.0"
"2014-01-25 00:00:00.0","247.0"
"2014-01-26 00:00:00.0","129.0"
"2014-01-27 00:00:00.0","409.0"
"2014-01-28 00:00:00.0","462.0"
"2014-01-29 00:00:00.0","470.0"
"2014-01-30 00:00:00.0","146.0"
"2014-01-31 00:00:00.0","158.0"
"2014-02-01 00:00:00.0","587.0"
"2014-02-02 00:00:00.0","516.0"
"2014-02-03 00:00:00.0","590.0"
"2014-02-04 00:00:00.0","88.0"
"2014-02-05 00:00:00.0","568.0"
"2014-02-06 00:00:00.0","202.0"
"2014-02-07 00:00:00.0","347.0"
"2014-02-08 00:00:00.0","481.0"
"2014-02-09 00:00:00.0","152.0"
"2014-02-10 00:00:00.0","687.0"
"2014-02-11 00:00:00.0","560.0"
"2014-02-12 00:00:00.0","161.0"
"2014-02-13 00:00:00.0","548.0"
"2014-02-14 00:00:00.0","163.0"
"2014-02-15 00:00:00.0","686.0"
"2014-02-16 00:00:00.0","1059.0"
"2014-02-17 00:00:00.0","263.0"
"2014-02-18 00:00:00.0","708.0"
"2014-02-19 00:00:00.0","640.0"
"2014-02-20 00:00:00.0","478.0"
"2014-02-21 00:00:00.0","730.0"
"2014-02-22 00:00:00.0","620.0"
"2014-02-23 00:00:00.0","985.0"
"2014-02-24 00:00:00.0","791.0"
"2014-02-25 00:00:00.0","533.0"
"2014-02-26 00:00:00.0","977.0"
"2014-02-27 00:00:00.0","1130.0"
"2014-02-28 00:00:00.0","367.0"
"2014-03-01 00:00:00.0","142.0"
"2014-03-02 00:00:00.0","199.0"
"2014-03-03 00:00:00.0","614.0"
"2014-03-04 00:00:00.0","207.0"
"2014-03-05 00:00:00.0","714.0"
"2014-03-06 00:00:00.0","1699.0"
"2014-03-07 00:00:00.0","1728.0"
"2014-03-08 00:00:00.0","1738.0"
"2014-03-09 00:00:00.0","1476.0"
"2014-03-10 00:00:00.0","1777.0"
"2014-03-11 00:00:00.0","1847.0"
"2014-03-12 00:00:00.0","1689.0"
"2014-03-13 00:00:00.0","1807.0"
"2014-03-14 00:00:00.0","1791.0"
"2014-03-15 00:00:00.0","1884.0"
"2014-03-16 00:00:00.0","1903.0"
"2014-03-17 00:00:00.0","1851.0"
"2014-03-18 00:00:00.0","717.0"
"2014-03-19 00:00:00.0","1943.0"
"2014-03-20 00:00:00.0","1884.0"
"2014-03-21 00:00:00.0","450.0"
"2014-03-22 00:00:00.0","1333.0"
"2014-03-23 00:00:00.0","1213.0"
"2014-03-24 00:00:00.0","774.0"
"2014-03-25 00:00:00.0","593.0"
"2014-03-26 00:00:00.0","1273.0"
"2014-03-27 00:00:00.0","1095.0"
"2014-03-28 00:00:00.0","1192.0"
"2014-03-29 00:00:00.0","1185.0"
"2014-03-30 00:00:00.0","467.0"
"2014-03-31 00:00:00.0","861.0"
"2014-04-01 00:00:00.0","227.0"
"2014-04-02 00:00:00.0","1196.0"
"2014-04-03 00:00:00.0","1023.0"
"2014-04-04 00:00:00.0","430.0"
"2014-04-05 00:00:00.0","558.0"
"2014-04-06 00:00:00.0","1336.0"
"2014-04-07 00:00:00.0","741.0"
"2014-04-08 00:00:00.0","2346.0"
"2014-04-09 00:00:00.0","2143.0"
"2014-04-10 00:00:00.0","1566.0"
"2014-04-11 00:00:00.0","2273.0"
"2014-04-12 00:00:00.0","2362.0"
"2014-04-13 00:00:00.0","2331.0"
"2014-04-14 00:00:00.0","1565.0"
"2014-04-15 00:00:00.0","1647.0"
"2014-04-16 00:00:00.0","2296.0"
"2014-04-17 00:00:00.0","2460.0"
"2014-04-18 00:00:00.0","2000.0"
"2014-04-19 00:00:00.0","630.0"
"2014-04-20 00:00:00.0","537.0"
"2014-04-21 00:00:00.0","884.0"
"2014-04-22 00:00:00.0","976.0"
"2014-04-23 00:00:00.0","1714.0"
"2014-04-24 00:00:00.0","638.0"
"2014-04-25 00:00:00.0","526.0"
"2014-04-26 00:00:00.0","1934.0"
"2014-04-27 00:00:00.0","1090.0"
"2014-04-28 00:00:00.0","1159.0"
"2014-04-29 00:00:00.0","610.0"
"2014-04-30 00:00:00.0","1105.0"
"2014-05-01 00:00:00.0","2018.0"
"2014-05-02 00:00:00.0","2528.0"
"2014-05-03 00:00:00.0","2748.0"
"2014-05-04 00:00:00.0","2591.0"
"2014-05-05 00:00:00.0","1958.0"
"2014-05-06 00:00:00.0","813.0"
"2014-05-07 00:00:00.0","2152.0"
"2014-05-08 00:00:00.0","2457.0"
"2014-05-09 00:00:00.0","2452.0"
"2014-05-10 00:00:00.0","1292.0"
"2014-05-11 00:00:00.0","2487.0"
"2014-05-12 00:00:00.0","2139.0"
"2014-05-13 00:00:00.0","2641.0"
"2014-05-14 00:00:00.0","2839.0"
"2014-05-15 00:00:00.0","2910.0"
"2014-05-16 00:00:00.0","2950.0"
"2014-05-17 00:00:00.0","2983.0"
"2014-05-18 00:00:00.0","2787.0"
"2014-05-19 00:00:00.0","826.0"
"2014-05-20 00:00:00.0","1368.0"
"2014-05-21 00:00:00.0","786.0"
"2014-05-22 00:00:00.0","1310.0"
"2014-05-23 00:00:00.0","1300.0"
"2014-05-24 00:00:00.0","1383.0"
"2014-05-25 00:00:00.0","1687.0"
"2014-05-26 00:00:00.0","1283.0"
"2014-05-27 00:00:00.0","1520.0"
"2014-05-28 00:00:00.0","920.0"
"2014-05-29 00:00:00.0","613.0"
"2014-05-30 00:00:00.0","1625.0"
"2014-05-31 00:00:00.0","2471.0"
"2014-06-01 00:00:00.0","2993.0"
"2014-06-02 00:00:00.0","2645.0"
"2014-06-03 00:00:00.0","2454.0"
"2014-06-04 00:00:00.0","2457.0"
"2014-06-05 00:00:00.0","1521.0"
"2014-06-06 00:00:00.0","720.0"
"2014-06-07 00:00:00.0","1362.0"
"2014-06-08 00:00:00.0","951.0"
"2014-06-09 00:00:00.0","1416.0"
"2014-06-10 00:00:00.0","2865.0"
"2014-06-11 00:00:00.0","3015.0"
"2014-06-12 00:00:00.0","3017.0"
"2014-06-13 00:00:00.0","3060.0"
"2014-06-14 00:00:00.0","2838.0"
"2014-06-15 00:00:00.0","3014.0"
"2014-06-16 00:00:00.0","3088.0"
"2014-06-17 00:00:00.0","3067.0"
"2014-06-18 00:00:00.0","2942.0"
"2014-06-19 00:00:00.0","2476.0"
"2014-06-20 00:00:00.0","1742.0"
"2014-06-21 00:00:00.0","1855.0"
"2014-06-22 00:00:00.0","2123.0"
"2014-06-23 00:00:00.0","1713.0"
"2014-06-24 00:00:00.0","804.0"
"2014-06-25 00:00:00.0","942.0"
"2014-06-26 00:00:00.0","1611.0"
"2014-06-27 00:00:00.0","2184.0"
"2014-06-28 00:00:00.0","1707.0"
"2014-06-29 00:00:00.0","1210.0"
"2014-06-30 00:00:00.0","1516.0"
"2014-07-01 00:00:00.0","755.0"
"2014-07-02 00:00:00.0","2572.0"
"2014-07-03 00:00:00.0","2651.0"
"2014-07-04 00:00:00.0","2103.0"
"2014-07-05 00:00:00.0","839.0"
"2014-07-06 00:00:00.0","2115.0"
"2014-07-07 00:00:00.0","1598.0"
"2014-07-08 00:00:00.0","1644.0"
"2014-07-09 00:00:00.0","2854.0"
"2014-07-10 00:00:00.0","3006.0"
"2014-07-11 00:00:00.0","2973.0"
"2014-07-12 00:00:00.0","2920.0"
"2014-07-13 00:00:00.0","2820.0"
"2014-07-14 00:00:00.0","2684.0"
"2014-07-15 00:00:00.0","2702.0"
"2014-07-16 00:00:00.0","2814.0"
"2014-07-17 00:00:00.0","2137.0"
"2014-07-18 00:00:00.0","1208.0"
"2014-07-19 00:00:00.0","1141.0"
"2014-07-20 00:00:00.0","1395.0"
"2014-07-21 00:00:00.0","2884.0"
"2014-07-22 00:00:00.0","2806.0"
"2014-07-23 00:00:00.0","2636.0"
"2014-07-24 00:00:00.0","1774.0"
"2014-07-25 00:00:00.0","1453.0"
"2014-07-26 00:00:00.0","2563.0"
"2014-07-27 00:00:00.0","2734.0"
"2014-07-28 00:00:00.0","2334.0"
"2014-07-29 00:00:00.0","2756.0"
"2014-07-30 00:00:00.0","2801.0"
"2014-07-31 00:00:00.0","2717.0"
"2014-08-01 00:00:00.0","1245.0"
"2014-08-02 00:00:00.0","1120.0"
"2014-08-03 00:00:00.0","1313.0"
"2014-08-04 00:00:00.0","2628.0"
"2014-08-05 00:00:00.0","2469.0"
"2014-08-06 00:00:00.0","1439.0"
"2014-08-07 00:00:00.0","1548.0"
"2014-08-08 00:00:00.0","629.0"
"2014-08-09 00:00:00.0","1721.0"
"2014-08-10 00:00:00.0","689.0"
"2014-08-11 00:00:00.0","2413.0"
"2014-08-12 00:00:00.0","486.0"
"2014-08-13 00:00:00.0","2002.0"
"2014-08-14 00:00:00.0","1703.0"
"2014-08-15 00:00:00.0","2344.0"
"2014-08-16 00:00:00.0","2623.0"
"2014-08-17 00:00:00.0","2618.0"
"2014-08-18 00:00:00.0","2536.0"
"2014-08-19 00:00:00.0","2280.0"
"2014-08-20 00:00:00.0","2201.0"
"2014-08-21 00:00:00.0","2404.0"
"2014-08-22 00:00:00.0","2008.0"
"2014-08-23 00:00:00.0","2394.0"
"2014-08-24 00:00:00.0","2468.0"
"2014-08-25 00:00:00.0","966.0"
"2014-08-26 00:00:00.0","241.0"
"2014-08-27 00:00:00.0","1092.0"
"2014-08-28 00:00:00.0","1343.0"
"2014-08-29 00:00:00.0","2105.0"
"2014-08-30 00:00:00.0","2245.0"
"2014-08-31 00:00:00.0","2323.0"
"2014-09-01 00:00:00.0","2270.0"
"2014-09-02 00:00:00.0","2206.0"
"2014-09-03 00:00:00.0","715.0"
"2014-09-04 00:00:00.0","835.0"
"2014-09-05 00:00:00.0","2086.0"
"2014-09-06 00:00:00.0","1119.0"
"2014-09-07 00:00:00.0","503.0"
"2014-09-08 00:00:00.0","1691.0"
"2014-09-09 00:00:00.0","1514.0"
"2014-09-10 00:00:00.0","1563.0"
"2014-09-11 00:00:00.0","1636.0"
"2014-09-12 00:00:00.0","1274.0"
"2014-09-13 00:00:00.0","1390.0"
"2014-09-14 00:00:00.0","1280.0"
"2014-09-15 00:00:00.0","1009.0"
"2014-09-16 00:00:00.0","1069.0"
"2014-09-17 00:00:00.0","1157.0"
"2014-09-18 00:00:00.0","229.0"
"2014-09-19 00:00:00.0","752.0"
"2014-09-20 00:00:00.0","1179.0"
"2014-09-21 00:00:00.0","1286.0"
"2014-09-22 00:00:00.0","654.0"
"2014-09-23 00:00:00.0","764.0"
"2014-09-24 00:00:00.0","1744.0"
"2014-09-25 00:00:00.0","1869.0"
"2014-09-26 00:00:00.0","1864.0"
"2014-09-27 00:00:00.0","1710.0"
"2014-09-28 00:00:00.0","1327.0"
"2014-09-29 00:00:00.0","1719.0"
"2014-09-30 00:00:00.0","1707.0"
"2014-10-01 00:00:00.0","1702.0"
"2014-10-02 00:00:00.0","1681.0"
"2014-10-03 00:00:00.0","1649.0"
"2014-10-04 00:00:00.0","532.0"
"2014-10-05 00:00:00.0","1385.0"
"2014-10-06 00:00:00.0","227.0"
"2014-10-07 00:00:00.0","379.0"
"2014-10-08 00:00:00.0","228.0"
"2014-10-09 00:00:00.0","445.0"
"2014-10-10 00:00:00.0","1166.0"
"2014-10-11 00:00:00.0","917.0"
"2014-10-12 00:00:00.0","782.0"
"2014-10-13 00:00:00.0","372.0"
"2014-10-14 00:00:00.0","978.0"
"2014-10-15 00:00:00.0","181.0"
"2014-10-16 00:00:00.0","152.0"
"2014-10-17 00:00:00.0","580.0"
"2014-10-18 00:00:00.0","398.0"
"2014-10-19 00:00:00.0","891.0"
"2014-10-20 00:00:00.0","1264.0"
"2014-10-21 00:00:00.0","1130.0"
"2014-10-22 00:00:00.0","1291.0"
"2014-10-23 00:00:00.0","1048.0"
"2014-10-24 00:00:00.0","714.0"
"2014-10-25 00:00:00.0","1194.0"
"2014-10-26 00:00:00.0","1236.0"
"2014-10-27 00:00:00.0","1225.0"
"2014-10-28 00:00:00.0","982.0"
"2014-10-29 00:00:00.0","735.0"
"2014-10-30 00:00:00.0","1101.0"
"2014-10-31 00:00:00.0","619.0"
"2014-11-01 00:00:00.0","735.0"
"2014-11-02 00:00:00.0","182.0"
"2014-11-03 00:00:00.0","76.0"
"2014-11-04 00:00:00.0","357.0"
"2014-11-05 00:00:00.0","597.0"
"2014-11-06 00:00:00.0","123.0"
"2014-11-07 00:00:00.0","773.0"
"2014-11-08 00:00:00.0","171.0"
"2014-11-09 00:00:00.0","415.0"
"2014-11-10 00:00:00.0","139.0"
"2014-11-11 00:00:00.0","497.0"
"2014-11-12 00:00:00.0","431.0"
"2014-11-13 00:00:00.0","718.0"
"2014-11-14 00:00:00.0","484.0"
"2014-11-15 00:00:00.0","467.0"
"2014-11-16 00:00:00.0","222.0"
"2014-11-17 00:00:00.0","383.0"
"2014-11-18 00:00:00.0","513.0"
"2014-11-19 00:00:00.0","409.0"
"2014-11-20 00:00:00.0","403.0"
"2014-11-21 00:00:00.0","645.0"
"2014-11-22 00:00:00.0","294.0"
"2014-11-23 00:00:00.0","110.0"
"2014-11-24 00:00:00.0","337.0"
"2014-11-25 00:00:00.0","204.0"
"2014-11-26 00:00:00.0","474.0"
"2014-11-27 00:00:00.0","504.0"
"2014-11-28 00:00:00.0","263.0"
"2014-11-29 00:00:00.0","452.0"
"2014-11-30 00:00:00.0","557.0"
"2014-12-01 00:00:00.0","205.0"
"2014-12-02 00:00:00.0","297.0"
"2014-12-03 00:00:00.0","254.0"
"2014-12-04 00:00:00.0","334.0"
"2014-12-05 00:00:00.0","472.0"
"2014-12-06 00:00:00.0","597.0"
"2014-12-07 00:00:00.0","254.0"
"2014-12-08 00:00:00.0","429.0"
"2014-12-09 00:00:00.0","593.0"
"2014-12-10 00:00:00.0","261.0"
"2014-12-11 00:00:00.0","596.0"
"2014-12-12 00:00:00.0","220.0"
"2014-12-13 00:00:00.0","185.0"
"2014-12-14 00:00:00.0","297.0"
"2014-12-15 00:00:00.0","266.0"
"2014-12-16 00:00:00.0","329.0"
"2014-12-17 00:00:00.0","215.0"
"2014-12-18 00:00:00.0","276.0"
"2014-12-19 00:00:00.0","291.0"
"2014-12-20 00:00:00.0","195.0"
"2014-12-21 00:00:00.0","634.0"
"2014-12-22 00:00:00.0","779.0"
"2014-12-23 00:00:00.0","154.0"
"2014-12-24 00:00:00.0","224.0"
"2014-12-25 00:00:00.0","420.0"
"2014-12-26 00:00:00.0","494.0"
"2014-12-27 00:00:00.0","201.0"
"2014-12-28 00:00:00.0","601.0"
"2014-12-29 00:00:00.0","800.0"
"2014-12-30 00:00:00.0","806.0"
"2014-12-31 00:00:00.0","734.0"
"2015-01-01 00:00:00.0","779.0"
"2015-01-02 00:00:00.0","649.0"
"2015-01-03 00:00:00.0","703.0"
"2015-01-04 00:00:00.0","760.0"
"2015-01-05 00:00:00.0","664.0"
"2015-01-06 00:00:00.0","754.0"
"2015-01-07 00:00:00.0","753.0"
"2015-01-08 00:00:00.0","572.0"
"2015-01-09 00:00:00.0","783.0"
"2015-01-10 00:00:00.0","819.0"
"2015-01-11 00:00:00.0","480.0"
"2015-01-12 00:00:00.0","828.0"
"2015-01-13 00:00:00.0","120.0"
"2015-01-14 00:00:00.0","213.0"
"2015-01-15 00:00:00.0","58.0"
"2015-01-16 00:00:00.0","330.0"
"2015-01-17 00:00:00.0","298.0"
"2015-01-18 00:00:00.0","161.0"
"2015-01-19 00:00:00.0","741.0"
"2015-01-20 00:00:00.0","498.0"
"2015-01-21 00:00:00.0","227.0"
"2015-01-22 00:00:00.0","172.0"
"2015-01-23 00:00:00.0","356.0"
"2015-01-24 00:00:00.0","444.0"
"2015-01-25 00:00:00.0","836.0"
"2015-01-26 00:00:00.0","922.0"
"2015-01-27 00:00:00.0","555.0"
"2015-01-28 00:00:00.0","228.0"
"2015-01-29 00:00:00.0","104.0"
"2015-01-30 00:00:00.0","69.0"
"2015-01-31 00:00:00.0","393.0"
"2015-02-01 00:00:00.0","390.0"
"2015-02-02 00:00:00.0","273.0"
"2015-02-03 00:00:00.0","360.0"
"2015-02-04 00:00:00.0","593.0"
"2015-02-05 00:00:00.0","550.0"
"2015-02-06 00:00:00.0","453.0"
"2015-02-07 00:00:00.0","271.0"
"2015-02-08 00:00:00.0","1199.0"
"2015-02-09 00:00:00.0","1269.0"
"2015-02-10 00:00:00.0","1248.0"
"2015-02-11 00:00:00.0","991.0"
"2015-02-12 00:00:00.0","429.0"
"2015-02-13 00:00:00.0","149.0"
"2015-02-14 00:00:00.0","115.0"
"2015-02-15 00:00:00.0","174.0"
"2015-02-16 00:00:00.0","363.0"
"2015-02-17 00:00:00.0","1029.0"
"2015-02-18 00:00:00.0","1290.0"
"2015-02-19 00:00:00.0","648.0"
"2015-02-20 00:00:00.0","119.0"
"2015-02-21 00:00:00.0","640.0"
"2015-02-22 00:00:00.0","193.0"
"2015-02-23 00:00:00.0","481.0"
"2015-02-24 00:00:00.0","582.0"
"2015-02-25 00:00:00.0","476.0"
"2015-02-26 00:00:00.0","196.0"
"2015-02-27 00:00:00.0","1211.0"
"2015-02-28 00:00:00.0","257.0"
"2015-03-01 00:00:00.0","178.0"
"2015-03-02 00:00:00.0","233.0"
"2015-03-03 00:00:00.0","296.0"
"2015-03-04 00:00:00.0","1624.0"
"2015-03-05 00:00:00.0","1763.0"
"2015-03-06 00:00:00.0","1786.0"
"2015-03-07 00:00:00.0","1799.0"
"2015-03-08 00:00:00.0","1826.0"
"2015-03-09 00:00:00.0","1850.0"
"2015-03-10 00:00:00.0","1684.0"
"2015-03-11 00:00:00.0","1416.0"
"2015-03-12 00:00:00.0","458.0"
"2015-03-13 00:00:00.0","1804.0"
"2015-03-14 00:00:00.0","1667.0"
