"Instante lectura","Irradiación global diaria"
"2014-01-01 00:00:00.0","128.0"
"2014-01-02 00:00:00.0","198.0"
"2014-01-03 00:00:00.0","464.0"
"2014-01-04 00:00:00.0","324.0"
"2014-01-05 00:00:00.0","183.0"
"2014-01-06 00:00:00.0","288.0"
"2014-01-07 00:00:00.0","477.0"
"2014-01-08 00:00:00.0","214.0"
"2014-01-09 00:00:00.0","201.0"
"2014-01-10 00:00:00.0","372.0"
"2014-01-11 00:00:00.0","714.0"
"2014-01-12 00:00:00.0","196.0"
"2014-01-13 00:00:00.0","234.0"
"2014-01-14 00:00:00.0","280.0"
"2014-01-15 00:00:00.0","339.0"
"2014-01-16 00:00:00.0","526.0"
"2014-01-17 00:00:00.0","462.0"
"2014-01-18 00:00:00.0","472.0"
"2014-01-19 00:00:00.0","542.0"
"2014-01-20 00:00:00.0","502.0"
"2014-01-21 00:00:00.0","143.0"
"2014-01-22 00:00:00.0","574.0"
"2014-01-23 00:00:00.0","569.0"
"2014-01-24 00:00:00.0","288.0"
"2014-01-25 00:00:00.0","195.0"
"2014-01-26 00:00:00.0","217.0"
"2014-01-27 00:00:00.0","329.0"
"2014-01-28 00:00:00.0","431.0"
"2014-01-29 00:00:00.0","627.0"
"2014-01-30 00:00:00.0","249.0"
"2014-01-31 00:00:00.0","286.0"
"2014-02-01 00:00:00.0","752.0"
"2014-02-02 00:00:00.0","883.0"
"2014-02-03 00:00:00.0","606.0"
"2014-02-04 00:00:00.0","125.0"
"2014-02-05 00:00:00.0","596.0"
"2014-02-06 00:00:00.0","281.0"
"2014-02-07 00:00:00.0","492.0"
"2014-02-08 00:00:00.0","522.0"
"2014-02-09 00:00:00.0","196.0"
"2014-02-10 00:00:00.0","827.0"
"2014-02-11 00:00:00.0","557.0"
"2014-02-12 00:00:00.0","334.0"
"2014-02-13 00:00:00.0","658.0"
"2014-02-14 00:00:00.0","189.0"
"2014-02-15 00:00:00.0","498.0"
"2014-02-16 00:00:00.0","866.0"
"2014-02-17 00:00:00.0","524.0"
"2014-02-18 00:00:00.0","763.0"
"2014-02-19 00:00:00.0","664.0"
"2014-02-20 00:00:00.0","820.0"
"2014-02-21 00:00:00.0","960.0"
"2014-02-22 00:00:00.0","791.0"
"2014-02-23 00:00:00.0","1080.0"
"2014-02-24 00:00:00.0","784.0"
"2014-02-25 00:00:00.0","470.0"
"2014-02-26 00:00:00.0","1069.0"
"2014-02-27 00:00:00.0","1210.0"
"2014-02-28 00:00:00.0","370.0"
"2014-03-01 00:00:00.0","165.0"
"2014-03-02 00:00:00.0","257.0"
"2014-03-03 00:00:00.0","743.0"
"2014-03-04 00:00:00.0","373.0"
"2014-03-05 00:00:00.0","846.0"
"2014-03-06 00:00:00.0","1668.0"
"2014-03-07 00:00:00.0","1526.0"
